"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_060",1.20270674654356,2,1,3.5,0.1,FALSE,FALSE,TRUE,TRUE,0.00222945205479452,91,22,17
"emb_085",1.20879953963894,8,2,3.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0108972602739726,139,66,8
"rate_upper",1.20488025635015,4,3,8,0.2,FALSE,FALSE,TRUE,TRUE,0.00413356164383562,10,15,51
"emb_231",1.21016989549744,15,4,8,0.05,FALSE,FALSE,TRUE,FALSE,0.0149486301369863,270,120,54
"emb_003",1.20979701032003,13,5.5,12.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0136780821917808,9,5,19
"scale_13",1.21593134254518,31,5.5,27,0.15,FALSE,FALSE,FALSE,FALSE,0.0516952054794521,64,132,69
"emb_123",1.21561873755244,29,7.5,8,0.05,FALSE,FALSE,TRUE,FALSE,0.0484828767123288,147,36,9
"emb_185",1.21013383805666,14,7.5,18.5,0,FALSE,FALSE,TRUE,FALSE,0.0147979452054795,221,187,109
"emb_008",1.20201928716798,1,9,3.5,0.15,FALSE,FALSE,TRUE,TRUE,0.00186301369863014,14,13,2
"emb_113",1.21125005355669,19,10,33.5,0.2,FALSE,FALSE,TRUE,FALSE,0.0191130136986301,35,95,186
"emb_007",1.21225819723488,21,11,3.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0237294520547945,43,115,28
"emb_201",1.20702801152055,5,12,3.5,0.1,FALSE,FALSE,TRUE,TRUE,0.00703767123287671,199,137,15
"emb_026",1.22160578279997,73,13,18.5,0.1,FALSE,FALSE,FALSE,FALSE,0.139051369863014,148,122,21
"emb_144",1.21393641141441,24,14.5,12.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0342397260273973,248,121,10
"emb_238",1.22465953129253,94,14.5,31,0.15,FALSE,FALSE,FALSE,FALSE,0.21813698630137,265,288,234
"emb_082",1.21263096327359,22,17,38,0.1,FALSE,FALSE,TRUE,FALSE,0.0257260273972603,184,24,6
"emb_114",1.21902135258721,42,17,18.5,0.05,FALSE,FALSE,FALSE,FALSE,0.090695205479452,19,43,55
"emb_128",1.21511632642367,28,17,12.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0437945205479452,62,74,14
"emb_253",1.21726754307233,34,19,12.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0663356164383562,227,214,44
"emb_124",1.21088490899351,17,20,53,0.1,FALSE,FALSE,TRUE,FALSE,0.0176130136986301,163,63,56
"scale_12",1.21097921331558,18,21,49.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0179486301369863,40,78,81
"emb_163",1.22024228191322,55,22.5,49.5,0.1,FALSE,FALSE,FALSE,FALSE,0.111417808219178,151,85,267
"emb_221",1.2159512840905,32,22.5,42,0,FALSE,FALSE,FALSE,FALSE,0.0519109589041096,272,200,64
"emb_059",1.21576505466323,30,24,31,0,FALSE,FALSE,TRUE,FALSE,0.0498938356164384,137,171,78
"emb_066",1.21785548247737,39,25.5,12.5,0,FALSE,FALSE,FALSE,FALSE,0.073972602739726,158,204,75
"emb_087",1.21468250453434,25,25.5,64,0.05,FALSE,FALSE,TRUE,FALSE,0.0399417808219178,42,30,29
"emb_094",1.21863635448574,40,27,43.5,0.05,FALSE,FALSE,FALSE,FALSE,0.0848150684931507,135,106,18
"emb_237",1.22040397501372,57,28,82.5,0.05,FALSE,FALSE,FALSE,FALSE,0.114503424657534,53,67,125
"byte_entropy",1.21910417087849,44,29,27,0.15,FALSE,FALSE,FALSE,FALSE,0.0919486301369863,8,9,5
