"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_052",1.23730819001772,238,189,164,0,FALSE,FALSE,FALSE,FALSE,0.8970625,256,215,202
"emb_195",1.222359155731,113,189,205.5,0,FALSE,FALSE,FALSE,FALSE,0.332573529411765,165,238,226
"emb_205",1.2345657853319,218,189,199.5,0.1,FALSE,FALSE,FALSE,FALSE,0.828863970588235,214,98,210
"emb_114",1.23168483705747,199,191,112,0.05,FALSE,FALSE,FALSE,FALSE,0.732330882352941,87,120,207
"emb_126",1.22932930193064,180,192,208,0.05,FALSE,FALSE,FALSE,FALSE,0.637371323529412,229,265,232
"emb_072",1.23332459909257,214,193.5,186.5,0.1,FALSE,FALSE,FALSE,FALSE,0.790231617647059,212,247,218
"emb_102",1.22676283126917,157,193.5,209,0,FALSE,FALSE,FALSE,FALSE,0.523761029411765,272,255,220
"emb_055",1.22280366316259,125,195.5,169,0.05,FALSE,FALSE,FALSE,FALSE,0.350974264705882,164,77,143
"emb_085",1.2301140475838,187,195.5,250,0.05,FALSE,FALSE,FALSE,FALSE,0.670099264705882,19,123,42
"emb_229",1.22974198720298,182,197,246.5,0,FALSE,FALSE,FALSE,FALSE,0.654731617647059,84,81,190
"emb_061",1.21173122127555,29,198,67.5,0,FALSE,FALSE,FALSE,FALSE,0.0554191176470588,112,51,231
"emb_108",1.21599526569342,60,199.5,135.5,0.05,FALSE,FALSE,FALSE,FALSE,0.128069852941176,44,44,183
"emb_253",1.23101958786033,194,199.5,237.5,0.05,FALSE,FALSE,FALSE,FALSE,0.706069852941177,89,210,53
"emb_082",1.23892977343289,247,201.5,226,0,FALSE,FALSE,FALSE,FALSE,0.926566176470588,162,143,118
"emb_224",1.23089021048533,193,201.5,170.5,0,FALSE,FALSE,FALSE,FALSE,0.701202205882353,91,59,119
"emb_227",1.23809480569258,244,203,204,0.1,FALSE,FALSE,FALSE,FALSE,0.912419117647059,62,134,238
"emb_176",1.22276857020055,124,204.5,207,0.05,FALSE,FALSE,FALSE,FALSE,0.349591911764706,139,187,174
"emb_237",1.23172143548435,201,204.5,212.5,0.05,FALSE,FALSE,FALSE,FALSE,0.733709558823529,186,220,112
"emb_124",1.23521450264373,225,206,222,0,FALSE,FALSE,FALSE,FALSE,0.846963235294118,23,73,149
"emb_111",1.2378669647431,239,207.5,223,0.1,FALSE,FALSE,FALSE,FALSE,0.908268382352941,241,150,141
"emb_118",1.23214018635775,203,207.5,155.5,0.1,FALSE,FALSE,FALSE,FALSE,0.749113970588235,205,176,163
"emb_099",1.24020116670374,250,209.5,225,0.1,FALSE,FALSE,FALSE,FALSE,0.944455882352941,181,186,89
