"model","p","replicate","exact_score_ties","n_inf","tied_coords_amin","n_distinct_amin","cross4","mixed4","grp4","cross20","mixed20","grp20","old_rmax","old_t4g","old_t4s","old_t24s","fav_rmax","fav_t4g","fav_t4s","fav_t24s","adv_rmax","adv_t4g","adv_t4s","adv_t24s","rnd_rmax","rnd_t4g","rnd_t4s","rnd_t24s","new_rmax","new_t4g","new_t4s","new_t24s","sel_old_rmax","sel_new_rmax","sel_ties_differ"
"A3",2000,4,0,0,1591,944,1,1,2,1,0,6,4,4,0,0,4,4,0,0,5,3,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A3",2000,5,0,0,1467,1075,1,1,6,0,0,2,4,4,0,0,4,4,0,0,9,3,0,0,7,3,0,0,4,4,0,0,10,10,FALSE
"A3",2000,6,0,0,1520,1011,1,1,7,1,0,5,4,4,0,0,4,4,0,0,10,3,0,0,5,3,0,0,10,3,0,0,451,451,FALSE
"A3",2000,7,0,0,1555,1000,0,0,1,1,0,5,5,3,0,0,5,3,0,0,9,3,0,0,8,3,0,0,5,3,0,0,4,4,FALSE
"A3",2000,8,0,0,1526,1004,0,0,1,0,0,5,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,5,5,FALSE
"A3",2000,9,0,0,1517,1013,0,0,1,1,0,5,5,3,0,1,5,3,0,1,5,3,0,1,5,3,0,0,5,3,0,0,4,4,FALSE
"A3",2000,10,0,0,1450,1084,0,0,1,1,0,5,5,3,0,0,5,3,0,0,8,3,0,0,7,3,0,0,5,3,0,0,4,4,FALSE
"A3",2000,11,0,0,1469,1067,1,1,4,1,0,5,4,4,0,1,4,4,0,1,6,2,0,1,5,3,0,1,5,3,0,1,5,5,FALSE
"A3",2000,12,0,0,1501,1014,1,1,2,1,0,7,4,4,0,0,4,4,0,0,5,3,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A3",2000,13,0,0,1437,1107,1,1,5,1,0,4,4,4,0,1,4,4,0,1,7,2,0,1,6,3,0,1,5,3,0,1,4,4,FALSE
"A3",2000,14,0,0,1507,1021,1,1,2,1,0,5,4,4,0,0,4,4,0,0,5,3,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A3",2000,15,0,0,1503,1049,0,0,1,1,0,5,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A3",2000,16,0,0,1513,1030,0,0,3,0,0,3,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A3",2000,17,0,0,1476,1058,0,0,1,1,0,4,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A3",2000,18,0,0,1446,1103,0,0,1,1,0,5,4,4,0,1,4,4,0,1,4,4,0,1,4,4,0,1,4,4,0,1,4,4,FALSE
"A3",2000,19,0,0,1555,961,1,1,4,1,0,5,6,3,0,0,6,3,0,0,7,2,0,0,7,3,0,0,6,3,0,0,4,4,FALSE
"A3",2000,20,0,0,1417,1126,1,0,5,1,0,4,9,2,0,1,9,2,0,1,11,2,0,1,10,2,0,1,10,2,0,1,22,22,FALSE
"A3",2000,21,0,0,1475,1081,0,0,2,1,0,4,6,3,0,0,6,3,0,0,9,3,0,0,9,3,0,0,6,3,0,0,14,14,FALSE
"A3",2000,22,0,0,1529,1002,1,1,5,1,0,5,4,4,0,0,4,4,0,0,8,3,0,0,7,3,0,0,4,4,0,0,4,4,FALSE
"A3",2000,23,0,0,1495,1051,1,1,5,0,0,6,8,3,0,2,8,3,0,2,8,2,0,2,8,2,0,2,8,3,0,2,4,4,FALSE
"A3",2000,24,0,0,1467,1062,0,0,1,1,0,5,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A3",2000,25,0,0,1486,1058,0,0,1,1,0,6,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,FALSE
