covariate,sd_inter,p_perm,gmin,gmax
s160m_max,0.21365633437458864,0.0,0.7994006233215332,1.2754916114807129
s160m_kurt,0.1790084668950668,0.0,0.987249397277832,1.383614444732666
s70m_kurt,0.17861723095772633,0.0,0.9890235633850097,1.3937330474853515
s70m_max,0.17755498359559085,0.0,0.8518495635986328,1.2772035331726075
s160m_skew,0.16054435113598817,0.0,1.0395142974853515,1.3906968841552734
s160m_q68,0.14506338602909125,0.0,1.0869109649658204,1.4158263740539552
s160m_mean,0.13703626560765494,0.0,1.1127029334853789,1.4227016220092774
s160m_q90,0.1364457490204608,0.0,1.0795602836608886,1.403819381713867
s70m_q94,0.13404858573819814,0.0,1.0999039535522461,1.4051569061279297
s160m_q72,0.1304259962333907,0.0,1.097097324371338,1.3962239799499512
s70m_skew,0.13010670487756473,0.0,1.0728853073120117,1.3517621994018554
s160m_q74,0.1295501055722423,0.0,1.072073028564453,1.3822535247802734
d70_160_bs11,0.12929795388268314,0.0,1.0336023445129394,1.3120529747009277
s70m_bm07,0.12902484081043827,0.0,1.132713523864746,1.40858349609375
s160m_q88,0.12884143075962648,0.0,1.0843707008361816,1.3814618988037108
d70_160_q16,0.12778225292340578,0.0,1.0034329681396483,1.279088565826416
s70m_q96,0.12708822676054912,0.0,1.1195910568237304,1.4040571365356445
s70m_q60,0.12689708056037463,0.0,1.1043880920410156,1.3825214004516602
s160m_q98,0.12672943620515922,0.0,1.066437572479248,1.3735367622375487
s160m_bs01,0.12642457988299613,0.0,1.0695321731567382,1.3156702651977539
s70m_q68,0.12639319131721316,0.0,1.0626805305480957,1.3647367820739746
s70m_q70,0.125840390013615,0.0,1.068683364868164,1.3636674880981445
s70m_q92,0.12516711218111726,0.0,1.1077362098693848,1.3936083602905274
s160m_q66,0.12489916746466254,0.0,1.1183893203735351,1.3961166229248048
s70m_q57,0.12440967913559084,0.0033333333333333335,1.111036392211914,1.3820338973999022
s160m_q70,0.12326674268634918,0.0033333333333333335,1.1000107879638672,1.3871651344299316
s70m_q64,0.12287658221635166,0.0033333333333333335,1.1009280128479004,1.3708959350585936
s70m_fb00,0.12285475350710495,0.0033333333333333335,1.0988393211364746,1.3699433631896973
s160m_q92,0.12254861392388668,0.0033333333333333335,1.0711347274780274,1.3675487785339355
s160m_q64,0.1215351878764213,0.0033333333333333335,1.0862180213928223,1.371129638671875
s160m_q56,0.12048659871517611,0.0033333333333333335,1.1027754821777345,1.3809570198059082
s160m_q76,0.12010589014108788,0.0033333333333333335,1.0859630546569825,1.3770995216369628
s70m_q56,0.11988198538452939,0.0033333333333333335,1.0803880500793457,1.3521644630432128
s160m_q60,0.11888834712361747,0.0033333333333333335,1.0669715614318849,1.3534850692749023
s160m_bm07,0.11765716971618105,0.0033333333333333335,1.1391989097595214,1.3916091842651368
s70m_q90,0.1158816007096816,0.0033333333333333335,1.1288535842895508,1.3835696411132812
s160m_q62,0.11515430676446013,0.0033333333333333335,1.1222813606262207,1.379612590789795
s70m_mean,0.11388660870270803,0.0033333333333333335,1.1421144790649413,1.3870484352111816
s70m_q76,0.11367548915199743,0.0033333333333333335,1.0980671424865722,1.364242961883545
s70m_q74,0.11365378835692154,0.0033333333333333335,1.098178352355957,1.3547371559143067
s70m_q66,0.11247950666373012,0.006666666666666667,1.1170516586303711,1.3643159942626952
s70m_q54,0.11224968580921472,0.006666666666666667,1.1163925247192383,1.3700087776184082
s160m_bm11,0.11169582497832342,0.006666666666666667,1.1151478233337402,1.372520191192627
s160m_q80,0.1113754889713403,0.006666666666666667,1.0607465858459473,1.3323113021850586
s70m_q06,0.11099832399263092,0.006666666666666667,1.0548779182434083,1.3111659126281738
s160m_q10,0.11029881958061429,0.006666666666666667,1.0917077255249024,1.320251106262207
s160m_q78,0.10966450237077922,0.006666666666666667,1.100100070953369,1.360867244720459
