"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"h24_0093",1.17944676471289,1,1,0.1,FALSE,TRUE,TRUE
"h24_0575",1.18245516129671,2,129,0,FALSE,TRUE,TRUE
"h24_0536",1.18294117389529,3,98.5,0.1,FALSE,TRUE,TRUE
"h24_0277",1.18398025942708,4,3,0,FALSE,TRUE,TRUE
"h24_0897",1.18405161384083,5,2,0.05,FALSE,TRUE,TRUE
"h24_0651",1.18471170827301,6,4,0.1,FALSE,TRUE,TRUE
"h24_0079",1.18527415363796,7,12.5,0.05,FALSE,TRUE,TRUE
"h24_0873",1.18577836806181,8,195.5,0.05,FALSE,TRUE,FALSE
"h24_0715",1.18597411905007,9,7,0,FALSE,TRUE,FALSE
"h24_0695",1.18611853208708,10,82,0,FALSE,TRUE,FALSE
"h24_0024",1.18627512733069,11,181,0,FALSE,TRUE,FALSE
"h24_0879",1.18659487059059,12,76,0,FALSE,TRUE,FALSE
"h24_0578",1.18660863600652,13,27,0.1,FALSE,TRUE,FALSE
"h24_0595",1.18669324618993,14,73,0,FALSE,TRUE,FALSE
"h24_0625",1.18672352284981,15,25.5,0,FALSE,TRUE,FALSE
"h24_0495",1.18691053294622,16,5,0,FALSE,TRUE,FALSE
"h24_0324",1.18692449331183,17,171,0.05,FALSE,TRUE,FALSE
"h24_0110",1.18728824424617,18,56,0,FALSE,TRUE,FALSE
"h24_0655",1.18758239025208,19,357.5,0.1,FALSE,TRUE,FALSE
"h24_0299",1.18786780518956,20,10,0,FALSE,TRUE,FALSE
"h24_0931",1.18798848056294,21,43.5,0,FALSE,TRUE,FALSE
"h24_0701",1.18808119965388,22,15,0,FALSE,TRUE,FALSE
"h24_0826",1.18832463852641,23,6,0,FALSE,TRUE,FALSE
"h24_0509",1.18837215342895,24,14,0,FALSE,TRUE,FALSE
"h24_0064",1.18840112575386,25,29.5,0.1,FALSE,TRUE,FALSE
"h24_0990",1.18848276058231,26,12.5,0.05,FALSE,TRUE,FALSE
"h24_0589",1.18856106928717,27,10,0.1,FALSE,TRUE,FALSE
"h24_0189",1.18859227103773,28,29.5,0.05,FALSE,TRUE,FALSE
"h24_0511",1.18869237769471,29,389.5,0,FALSE,TRUE,FALSE
"h24_0838",1.18877824355924,30,282.5,0,FALSE,TRUE,FALSE
"h24_0484",1.18886688158031,31,111,0.05,FALSE,TRUE,FALSE
"h24_0298",1.18894237454717,32,55,0,FALSE,TRUE,FALSE
"h24_0500",1.18898802868034,33,16,0.05,FALSE,TRUE,FALSE
"h24_0362",1.18901716199054,34,47.5,0,FALSE,TRUE,FALSE
"h24_0778",1.18906120291271,35,33,0.05,FALSE,TRUE,FALSE
"h24_0807",1.18916776454891,36,50.5,0.1,FALSE,TRUE,FALSE
"h24_0211",1.18959449466429,37,8,0.2,FALSE,TRUE,FALSE
"h24_0019",1.18959835721859,38,266,0,FALSE,TRUE,FALSE
"h24_0978",1.18959886943724,39,46,0,FALSE,TRUE,FALSE
"h24_0746",1.18966552949603,40,108,0,FALSE,TRUE,FALSE
"h24_0668",1.18972963066848,41,85,0.05,FALSE,TRUE,FALSE
"h24_0790",1.18973134964816,42,360,0,FALSE,TRUE,FALSE
"h24_0230",1.18973863814113,43,71,0.05,FALSE,TRUE,FALSE
"h24_0965",1.18975605369101,44,17,0.1,FALSE,TRUE,FALSE
"h24_0771",1.1897734121086,45,235,0,FALSE,TRUE,FALSE
"h24_0404",1.18984004877136,46,20,0.05,FALSE,TRUE,FALSE
"h24_0308",1.18988291992895,47,43.5,0.05,FALSE,TRUE,FALSE
"h24_1003",1.18991173521056,48,23.5,0,FALSE,TRUE,FALSE
