"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"h18_0093",1.17398845522529,1,1,0.1,FALSE,TRUE,TRUE
"h18_0165",1.17552548064544,2,2,0.1,FALSE,TRUE,TRUE
"h18_0285",1.17855267994185,3,19.5,0,FALSE,TRUE,TRUE
"h18_0174",1.17986167843052,4,19.5,0.05,FALSE,TRUE,TRUE
"h18_0651",1.18116527191449,5,3,0,FALSE,TRUE,TRUE
"h18_0640",1.18214197685871,6,10.5,0.05,FALSE,TRUE,TRUE
"h18_0897",1.18266550571865,7,4,0,FALSE,TRUE,TRUE
"h18_0535",1.18303248917502,8,7,0.05,FALSE,TRUE,TRUE
"h18_0632",1.18344513841366,9,49,0.1,FALSE,TRUE,TRUE
"h18_0685",1.18390257425015,10,98.5,0.1,FALSE,TRUE,TRUE
"h18_0377",1.1845218851615,11,56,0.05,FALSE,TRUE,TRUE
"h18_0982",1.18456817439429,12,5,0.05,FALSE,TRUE,TRUE
"h18_0844",1.1857032360175,13,193.5,0.05,FALSE,TRUE,FALSE
"h18_0455",1.18573177447936,14,129.5,0.05,FALSE,TRUE,FALSE
"h18_0728",1.18614728587845,15,23,0.05,FALSE,TRUE,FALSE
"h18_0903",1.18626250382733,16,8.5,0,FALSE,TRUE,FALSE
"h18_0315",1.18646252757134,17,14.5,0.05,FALSE,TRUE,FALSE
"h18_0554",1.18662455516906,18,35,0,FALSE,TRUE,FALSE
"h18_0401",1.18664119135314,19,6,0,FALSE,TRUE,FALSE
"h18_0178",1.18691297667542,20,62,0.1,FALSE,TRUE,FALSE
"h18_0255",1.18692371168365,21,172,0,FALSE,TRUE,FALSE
"h18_0286",1.1870609828326,22,112,0,FALSE,TRUE,FALSE
"h18_0021",1.18708317707936,23,32,0.15,FALSE,TRUE,FALSE
"h18_0292",1.18708421066652,24,24.5,0.05,FALSE,TRUE,FALSE
"h18_0821",1.18719439580154,25,8.5,0.05,FALSE,TRUE,FALSE
"h18_0743",1.18729059736856,26,24.5,0.05,FALSE,TRUE,FALSE
"h18_0363",1.18740533070096,27,28,0.05,FALSE,TRUE,FALSE
"h18_0830",1.18747649368102,28,174,0,FALSE,TRUE,FALSE
"h18_0792",1.18760606520515,29,37,0.1,FALSE,TRUE,FALSE
"h18_0826",1.18766321048166,30,13,0,FALSE,TRUE,FALSE
"h18_0873",1.18772365798996,31,38,0.05,FALSE,TRUE,FALSE
"h18_0316",1.18778359397134,32,216,0,FALSE,TRUE,FALSE
"h18_0127",1.18781815719528,33,330,0.05,FALSE,TRUE,FALSE
"h18_0238",1.18783637386823,34,63.5,0.05,FALSE,TRUE,FALSE
"h18_0133",1.1880257563569,35,154.5,0.1,FALSE,TRUE,FALSE
"h18_0969",1.18836748611645,36,498,0,FALSE,TRUE,FALSE
"h18_0509",1.18841686218345,37,90.5,0.05,FALSE,TRUE,FALSE
"h18_0842",1.18863486395002,38,136,0,FALSE,TRUE,FALSE
"h18_0390",1.18873114600114,39,48,0,FALSE,TRUE,FALSE
"h18_0583",1.18874641080611,40,95,0,FALSE,TRUE,FALSE
"h18_0026",1.18881973468378,41,74,0,FALSE,TRUE,FALSE
"h18_0961",1.18897922066305,42,16,0.05,FALSE,TRUE,FALSE
"h18_0351",1.18903888449376,43,76.5,0,FALSE,TRUE,FALSE
"h18_0331",1.18905018813359,44,110,0.05,FALSE,TRUE,FALSE
"h18_0906",1.18905417356644,45,255,0,FALSE,TRUE,FALSE
"h18_0161",1.18908166456595,46,115.5,0,FALSE,TRUE,FALSE
"h18_0503",1.18910961942862,47,26,0,FALSE,TRUE,FALSE
"h18_0096",1.18912434970008,48,18,0.1,FALSE,TRUE,FALSE
"h18_0349",1.18912972884773,49,324,0,FALSE,TRUE,FALSE
"h18_1006",1.18919329444043,50,404,0,FALSE,TRUE,FALSE
"h18_0068",1.18919710704216,51,50.5,0,FALSE,TRUE,FALSE
"h18_0974",1.18926767792294,52,21.5,0.05,FALSE,TRUE,FALSE
"h18_0975",1.18934910116769,53,214,0,FALSE,TRUE,FALSE
"h18_0058",1.18941459538117,54,32,0,FALSE,TRUE,FALSE
"h18_0697",1.18961584053134,55,310.5,0,FALSE,TRUE,FALSE
"h18_0920",1.18975771632028,56,66,0.05,FALSE,TRUE,FALSE
"h18_0195",1.18982311838482,57,92.5,0,FALSE,TRUE,FALSE
"h18_0191",1.18987981795383,58,162,0.05,FALSE,TRUE,FALSE
"h18_0730",1.18992725339519,59,40,0,FALSE,TRUE,FALSE
"h18_0568",1.18998683267403,60,221.5,0.05,FALSE,TRUE,FALSE
"h18_0182",1.19001984835727,61,80,0,FALSE,TRUE,FALSE
"h18_0956",1.19003293927666,62,29.5,0.05,FALSE,TRUE,FALSE
"h18_0775",1.19005217482147,63,21.5,0,FALSE,TRUE,FALSE
"h18_0128",1.19005358153498,64,333,0,FALSE,TRUE,FALSE
"h18_0946",1.19007420935444,65,40,0.05,FALSE,TRUE,FALSE
"h18_0078",1.1901262443409,66,127.5,0.05,FALSE,FALSE,FALSE
"h18_0575",1.19016189384209,67,179.5,0.05,FALSE,FALSE,FALSE
"h18_0090",1.19029328226015,68,114,0.05,FALSE,FALSE,FALSE
"h18_0079",1.19030552016543,69,275,0,FALSE,FALSE,FALSE
"h18_0990",1.19033979408155,70,70.5,0.1,FALSE,FALSE,FALSE
"h18_0469",1.19041424667569,71,549,0,FALSE,FALSE,FALSE
"h18_0004",1.19045328026962,72,27,0.05,FALSE,FALSE,FALSE
"h18_0295",1.19048147279692,73,52.5,0,FALSE,FALSE,FALSE
"h18_0598",1.19050986882442,74,40,0,FALSE,FALSE,FALSE
"h18_0041",1.19070046679693,75,126,0,FALSE,FALSE,FALSE
"h18_0764",1.19076380355332,76,247.5,0,FALSE,FALSE,FALSE
"h18_0526",1.19076443696848,77,330,0,FALSE,FALSE,FALSE
"h18_0233",1.19078569418351,78,54.5,0.05,FALSE,FALSE,FALSE
"h18_0342",1.19080492275997,79,287.5,0.05,FALSE,FALSE,FALSE
"h18_0688",1.19103662837957,80,175,0.05,FALSE,FALSE,FALSE
"h18_0029",1.19107764204743,81,12,0,FALSE,FALSE,FALSE
"h18_0970",1.19109062601226,82,42.5,0,FALSE,FALSE,FALSE
"h18_0252",1.19114646946662,83,409,0,FALSE,FALSE,FALSE
"h18_0947",1.19118705641421,84,57.5,0,FALSE,FALSE,FALSE
"h18_0221",1.19130739892556,85,59.5,0,FALSE,FALSE,FALSE
"h18_0205",1.19134805566758,86,90.5,0,FALSE,FALSE,FALSE
"h18_0796",1.19137193932425,87,133,0.1,FALSE,FALSE,FALSE
"h18_0746",1.19140912521919,88,247.5,0,FALSE,FALSE,FALSE
"h18_0209",1.1914470782936,89,32,0.1,FALSE,FALSE,FALSE
"h18_0668",1.19150942719041,90,50.5,0,FALSE,FALSE,FALSE
"h18_0302",1.19176943331415,91,119.5,0,FALSE,FALSE,FALSE
"h18_0257",1.19183400853103,92,487.5,0,FALSE,FALSE,FALSE
"h18_0570",1.19195771246686,93,67,0,FALSE,FALSE,FALSE
"h18_0366",1.19198049805662,94,286,0.05,FALSE,FALSE,FALSE
"h18_0293",1.19208264692616,95,223.5,0,FALSE,FALSE,FALSE
"h18_0385",1.1921003555167,96,69,0,FALSE,FALSE,FALSE
"h18_0718",1.19213214396496,97,191.5,0,FALSE,FALSE,FALSE
"h18_0702",1.19220828103573,98,121.5,0,FALSE,FALSE,FALSE
"h18_0679",1.19221467733699,99,81,0.05,FALSE,FALSE,FALSE
"h18_0091",1.19223588412875,100,137.5,0.05,FALSE,FALSE,FALSE
"h18_0829",1.19226059123561,101,57.5,0,FALSE,FALSE,FALSE
"h18_1010",1.19233173202715,102,217,0.1,FALSE,FALSE,FALSE
"h18_0929",1.19237663062249,103,84.5,0,FALSE,FALSE,FALSE
"h18_1021",1.19237900096594,104,197.5,0,FALSE,FALSE,FALSE
"h18_0695",1.19242328932772,105,96,0,FALSE,FALSE,FALSE
"h18_0049",1.1924359635509,106,88.5,0,FALSE,FALSE,FALSE
"h18_0290",1.19244627018293,107,36,0,FALSE,FALSE,FALSE
"h18_0942",1.19252391781478,108,623.5,0.05,FALSE,FALSE,FALSE
"h18_0580",1.19256543419706,109,163,0.05,FALSE,FALSE,FALSE
"h18_0740",1.19257594487872,110,438.5,0,FALSE,FALSE,FALSE
"h18_0324",1.19260724496972,111,98.5,0.15,FALSE,FALSE,FALSE
"h18_0883",1.19261729339874,112,121.5,0,FALSE,FALSE,FALSE
"h18_0563",1.19263079347795,113,82,0,FALSE,FALSE,FALSE
"h18_1019",1.19269877216519,114,17,0,FALSE,FALSE,FALSE
"h18_0951",1.19272177110238,115,83,0.05,FALSE,FALSE,FALSE
"h18_0074",1.19276470946018,116,123.5,0,FALSE,FALSE,FALSE
"h18_0353",1.19277900397331,117,86.5,0,FALSE,FALSE,FALSE
"h18_0803",1.19280927813369,118,237,0,FALSE,FALSE,FALSE
"h18_0309",1.19286013359153,119,152,0,FALSE,FALSE,FALSE
"h18_0574",1.19290624757385,120,88.5,0,FALSE,FALSE,FALSE
"h18_0032",1.19292002317866,121,193.5,0,FALSE,FALSE,FALSE
"h18_0655",1.19296752146092,122,139.5,0.05,FALSE,FALSE,FALSE
"h18_0279",1.19297664176021,123,283,0,FALSE,FALSE,FALSE
"h18_0098",1.19304601246125,124,127.5,0,FALSE,FALSE,FALSE
"h18_0847",1.1931100033761,125,292,0,FALSE,FALSE,FALSE
"h18_0201",1.19311362906927,126,107,0.05,FALSE,FALSE,FALSE
"h18_0795",1.19314357858596,127,42.5,0.05,FALSE,FALSE,FALSE
"h18_0149",1.19316185764208,128,100,0,FALSE,FALSE,FALSE
"h18_0840",1.19322032904809,129,164.5,0.05,FALSE,FALSE,FALSE
"h18_0022",1.19322873118566,130,97,0.05,FALSE,FALSE,FALSE
"h18_0326",1.19325785725538,131,46.5,0,FALSE,FALSE,FALSE
"h18_1018",1.19332169253474,132,289,0,FALSE,FALSE,FALSE
"h18_0400",1.1933534696033,133,103,0.05,FALSE,FALSE,FALSE
"h18_0109",1.19344145319513,134,29.5,0.05,FALSE,FALSE,FALSE
"h18_0150",1.19344917787009,135,10.5,0,FALSE,FALSE,FALSE
"h18_0901",1.19345454518992,136,626.5,0.05,FALSE,FALSE,FALSE
"h18_0314",1.193471154508,137,417,0,FALSE,FALSE,FALSE
"h18_0065",1.19348103972659,138,111,0,FALSE,FALSE,FALSE
"h18_0572",1.19352456400631,139,108,0.1,FALSE,FALSE,FALSE
"h18_0244",1.19352846588582,140,103,0.1,FALSE,FALSE,FALSE
"h18_0965",1.19353135148426,141,109,0,FALSE,FALSE,FALSE
"h18_0596",1.1935929525851,142,65,0,FALSE,FALSE,FALSE
"h18_0609",1.19361261140914,143,570,0,FALSE,FALSE,FALSE
"h18_0215",1.19361991440968,144,786,0,FALSE,FALSE,FALSE
"h18_0931",1.19367141781257,145,68,0.05,FALSE,FALSE,FALSE
"h18_0088",1.19367561648992,146,202.5,0,FALSE,FALSE,FALSE
"h18_0536",1.19369901340773,147,418,0,FALSE,FALSE,FALSE
"h18_0754",1.1937765024451,148,241.5,0,FALSE,FALSE,FALSE
"h18_1023",1.19380788472834,149,117,0.05,FALSE,FALSE,FALSE
"h18_0527",1.19382626882345,150,197.5,0,FALSE,FALSE,FALSE
"h18_0010",1.19384191859028,151,523.5,0,FALSE,FALSE,FALSE
"h18_0885",1.19387712846693,152,86.5,0.1,FALSE,FALSE,FALSE
"h18_0529",1.19387794193148,153,291,0.05,FALSE,FALSE,FALSE
"h18_0189",1.19388180664473,154,189,0,FALSE,FALSE,FALSE
"h18_0606",1.19389836045257,155,322,0,FALSE,FALSE,FALSE
"h18_0566",1.19391164017152,156,168,0,FALSE,FALSE,FALSE
"h18_0334",1.19395762937757,157,206,0,FALSE,FALSE,FALSE
"h18_0680",1.19396070314842,158,118,0,FALSE,FALSE,FALSE
"h18_0312",1.19397902773022,159,78.5,0,FALSE,FALSE,FALSE
"h18_0552",1.19400581942131,160,401.5,0,FALSE,FALSE,FALSE
"h18_0713",1.19403153015691,161,726.5,0,FALSE,FALSE,FALSE
"h18_0582",1.19405225394579,162,185,0.1,FALSE,FALSE,FALSE
"h18_0773",1.19419917807928,163,306,0,FALSE,FALSE,FALSE
"h18_0177",1.19421724276833,164,141.5,0.05,FALSE,FALSE,FALSE
"h18_0806",1.19422259154026,165,191.5,0.05,FALSE,FALSE,FALSE
"h18_0599",1.19424803496559,166,133,0,FALSE,FALSE,FALSE
"h18_0131",1.19427761490757,167,208,0.05,FALSE,FALSE,FALSE
"h18_0009",1.1942934335159,168,44.5,0.05,FALSE,FALSE,FALSE
"h18_0766",1.194298763133,169,387,0.05,FALSE,FALSE,FALSE
"h18_0938",1.19430953893556,170,233,0,FALSE,FALSE,FALSE
"h18_0185",1.1943463071188,171,137.5,0,FALSE,FALSE,FALSE
"h18_0985",1.19439468718385,172,101,0,FALSE,FALSE,FALSE
"h18_0890",1.19444862473893,173,209.5,0.1,FALSE,FALSE,FALSE
"h18_0036",1.19447267375765,174,182.5,0.1,FALSE,FALSE,FALSE
"h18_0154",1.19447573933282,175,212,0,FALSE,FALSE,FALSE
"h18_0916",1.19449010077801,176,464.5,0,FALSE,FALSE,FALSE
"h18_0073",1.1944906738697,177,272,0.1,FALSE,FALSE,FALSE
"h18_0280",1.19453630826491,178,221.5,0,FALSE,FALSE,FALSE
"h18_0834",1.19464474045689,179,406.5,0,FALSE,FALSE,FALSE
"h18_0158",1.19470458750026,180,355.5,0.05,FALSE,FALSE,FALSE
"h18_0514",1.19470969188991,181,94,0,FALSE,FALSE,FALSE
"h18_0611",1.19471555020448,182,261,0.05,FALSE,FALSE,FALSE
"h18_0725",1.19473114340023,183,229,0,FALSE,FALSE,FALSE
"h18_0625",1.19477447793883,184,326,0,FALSE,FALSE,FALSE
"h18_0932",1.19482427827276,185,190,0.05,FALSE,FALSE,FALSE
"h18_0895",1.1948358918885,186,263.5,0,FALSE,FALSE,FALSE
"h18_0540",1.19483830402552,187,219,0.05,FALSE,FALSE,FALSE
"h18_0193",1.19485930032908,188,307,0.05,FALSE,FALSE,FALSE
"h18_0264",1.19488367970138,189,294,0,FALSE,FALSE,FALSE
"h18_0028",1.19498499257612,190,236,0.05,FALSE,FALSE,FALSE
"h18_0828",1.19501088907042,191,34,0.05,FALSE,FALSE,FALSE
"h18_0374",1.19503752207917,192,258,0.05,FALSE,FALSE,FALSE
"h18_0356",1.19504292831426,193,659.5,0.05,FALSE,FALSE,FALSE
"h18_0232",1.19508854047891,194,113,0,FALSE,FALSE,FALSE
"h18_0999",1.19510874762943,195,313,0.05,FALSE,FALSE,FALSE
"h18_0544",1.19511832423658,196,154.5,0.1,FALSE,FALSE,FALSE
"h18_0466",1.19521666073167,197,125,0,FALSE,FALSE,FALSE
"h18_0814",1.19521974539211,198,44.5,0.05,FALSE,FALSE,FALSE
"h18_0473",1.19527902170591,199,131,0,FALSE,FALSE,FALSE
"h18_0749",1.19527956008334,200,226,0,FALSE,FALSE,FALSE
"h18_0322",1.19530287222756,201,393,0.1,FALSE,FALSE,FALSE
"h18_0337",1.19531300788122,202,384.5,0,FALSE,FALSE,FALSE
"h18_0884",1.19532273206364,203,164.5,0,FALSE,FALSE,FALSE
"h18_0479",1.19533691974357,204,380.5,0,FALSE,FALSE,FALSE
"h18_0813",1.19534864896587,205,14.5,0,FALSE,FALSE,FALSE
"h18_0431",1.1953864445028,206,212,0.1,FALSE,FALSE,FALSE
"h18_0406",1.19538803686096,207,206,0,FALSE,FALSE,FALSE
"h18_0577",1.19540745934153,208,147,0.05,FALSE,FALSE,FALSE
"h18_0475",1.19545600629666,209,170,0.05,FALSE,FALSE,FALSE
"h18_0896",1.19549110859507,210,365.5,0.05,FALSE,FALSE,FALSE
"h18_0383",1.1955145477699,211,466.5,0.05,FALSE,FALSE,FALSE
"h18_0888",1.19552810853629,212,150.5,0,FALSE,FALSE,FALSE
"h18_0715",1.19559172571653,213,46.5,0.05,FALSE,FALSE,FALSE
"h18_0025",1.19559806952802,214,106,0,FALSE,FALSE,FALSE
"h18_0594",1.19559904876306,215,413,0,FALSE,FALSE,FALSE
"h18_0867",1.19560521618164,216,537.5,0,FALSE,FALSE,FALSE
"h18_0548",1.19561169128326,217,200,0,FALSE,FALSE,FALSE
"h18_1009",1.19563525724321,218,256,0,FALSE,FALSE,FALSE
"h18_0712",1.1956624203753,219,234.5,0,FALSE,FALSE,FALSE
"h18_0588",1.19567431579593,220,336,0.05,FALSE,FALSE,FALSE
"h18_0328",1.19570949071074,221,177,0.05,FALSE,FALSE,FALSE
"h18_0085",1.19572515030939,222,230.5,0,FALSE,FALSE,FALSE
"h18_0546",1.19577097560346,223,227.5,0,FALSE,FALSE,FALSE
"h18_1002",1.19577229923169,224,182.5,0,FALSE,FALSE,FALSE
"h18_0824",1.19577948247071,225,355.5,0,FALSE,FALSE,FALSE
"h18_0714",1.19578960816293,226,238,0,FALSE,FALSE,FALSE
"h18_0492",1.19579484908804,227,468.5,0,FALSE,FALSE,FALSE
"h18_0794",1.19580746167598,228,182.5,0,FALSE,FALSE,FALSE
"h18_0223",1.19582848154887,229,672,0,FALSE,FALSE,FALSE
"h18_0110",1.19583364067117,230,202.5,0,FALSE,FALSE,FALSE
"h18_0579",1.19584456919377,231,336,0,FALSE,FALSE,FALSE
"h18_0889",1.19586646142263,232,294,0,FALSE,FALSE,FALSE
"h18_0699",1.19590921628095,233,220,0.1,FALSE,FALSE,FALSE
"h18_0848",1.19591871878283,234,72.5,0.05,FALSE,FALSE,FALSE
"h18_0673",1.19592290262264,235,803,0,FALSE,FALSE,FALSE
"h18_0788",1.19596454091151,236,330,0,FALSE,FALSE,FALSE
"h18_0837",1.19599926562892,237,197.5,0,FALSE,FALSE,FALSE
"h18_0994",1.19602508190195,238,432,0,FALSE,FALSE,FALSE
"h18_0578",1.19603793617444,239,565,0,FALSE,FALSE,FALSE
"h18_0375",1.19605514446471,240,505,0,FALSE,FALSE,FALSE
"h18_0675",1.19609474729014,241,119.5,0,FALSE,FALSE,FALSE
"h18_0892",1.19611997638986,242,294,0,FALSE,FALSE,FALSE
"h18_0163",1.19612047957811,243,188,0,FALSE,FALSE,FALSE
"h18_0841",1.19614314452718,244,267.5,0,FALSE,FALSE,FALSE
"h18_0435",1.19615552465751,245,470,0.1,FALSE,FALSE,FALSE
"h18_0500",1.19615654441398,246,304.5,0,FALSE,FALSE,FALSE
"h18_0118",1.19618185471647,247,209.5,0,FALSE,FALSE,FALSE
"h18_0891",1.19619071913732,248,544,0,FALSE,FALSE,FALSE
"h18_0584",1.19621023854386,249,320,0,FALSE,FALSE,FALSE
"h18_0573",1.19622823786814,250,179.5,0.1,FALSE,FALSE,FALSE
"h18_0224",1.19625261839581,251,643,0,FALSE,FALSE,FALSE
"h18_0330",1.19629456382249,252,272,0,FALSE,FALSE,FALSE
"h18_0904",1.19633684254561,253,277,0,FALSE,FALSE,FALSE
"h18_0489",1.19633844829007,254,421.5,0.05,FALSE,FALSE,FALSE
"h18_0317",1.19636050807743,255,376,0.05,FALSE,FALSE,FALSE
"h18_0030",1.19636985250579,256,480.5,0,FALSE,FALSE,FALSE
"h18_0056",1.19639046329405,257,139.5,0,FALSE,FALSE,FALSE
"h18_0404",1.19650966311367,258,103,0.05,FALSE,FALSE,FALSE
"h18_0414",1.19651500872637,259,253,0,FALSE,FALSE,FALSE
"h18_0107",1.19652641448924,260,153,0,FALSE,FALSE,FALSE
"h18_0576",1.19653221119856,261,661.5,0,FALSE,FALSE,FALSE
"h18_0218",1.19655224395377,262,371,0,FALSE,FALSE,FALSE
"h18_0696",1.19656718295397,263,632,0,FALSE,FALSE,FALSE
"h18_0603",1.19656887879084,264,617.5,0,FALSE,FALSE,FALSE
"h18_0854",1.19659994163418,265,987,0,FALSE,FALSE,FALSE
"h18_0926",1.19663360178762,266,777,0.05,FALSE,FALSE,FALSE
"h18_0798",1.19667000759538,267,676,0.05,FALSE,FALSE,FALSE
"h18_0768",1.1966872577368,268,186.5,0.05,FALSE,FALSE,FALSE
"h18_0284",1.19669055998201,269,258,0.05,FALSE,FALSE,FALSE
"h18_0378",1.19679880403396,270,223.5,0.1,FALSE,FALSE,FALSE
"h18_0242",1.19679894639643,271,430,0,FALSE,FALSE,FALSE
"h18_0045",1.19680156784088,272,406.5,0,FALSE,FALSE,FALSE
"h18_0955",1.19680809134555,273,197.5,0.05,FALSE,FALSE,FALSE
"h18_0418",1.19681931284239,274,351,0,FALSE,FALSE,FALSE
"h18_0943",1.19683859417822,275,166.5,0,FALSE,FALSE,FALSE
"h18_0389",1.19686175301176,276,508.5,0.05,FALSE,FALSE,FALSE
"h18_0940",1.19688217813987,277,947,0.05,FALSE,FALSE,FALSE
"h18_0044",1.19688495845547,278,522,0,FALSE,FALSE,FALSE
"h18_0913",1.19688920720924,279,296,0,FALSE,FALSE,FALSE
"h18_0810",1.1969058310456,280,177,0,FALSE,FALSE,FALSE
"h18_0786",1.19690598280963,281,63.5,0,FALSE,FALSE,FALSE
"h18_0320",1.1969213992188,282,269.5,0,FALSE,FALSE,FALSE
"h18_0097",1.1969306434489,283,269.5,0,FALSE,FALSE,FALSE
"h18_0136",1.19698962940743,284,240,0,FALSE,FALSE,FALSE
"h18_0053",1.19699349421706,285,247.5,0,FALSE,FALSE,FALSE
"h18_0247",1.19699464146452,286,456.5,0.05,FALSE,FALSE,FALSE
"h18_0382",1.19701054024257,287,243,0,FALSE,FALSE,FALSE
"h18_0533",1.19701198853542,288,438.5,0.05,FALSE,FALSE,FALSE
"h18_0095",1.19702843025146,289,318.5,0.05,FALSE,FALSE,FALSE
"h18_0808",1.19703621870854,290,578.5,0,FALSE,FALSE,FALSE
"h18_0104",1.19705964924865,291,283,0,FALSE,FALSE,FALSE
"h18_0589",1.19706424396908,292,623.5,0,FALSE,FALSE,FALSE
"h18_0425",1.19707126092998,293,173,0,FALSE,FALSE,FALSE
"h18_0179",1.19708340238547,294,559,0.05,FALSE,FALSE,FALSE
"h18_0108",1.19709672687599,295,92.5,0,FALSE,FALSE,FALSE
"h18_0484",1.19717687161492,296,206,0,FALSE,FALSE,FALSE
"h18_0170",1.19719338487864,297,144.5,0.05,FALSE,FALSE,FALSE
"h18_0558",1.19719406996199,298,212,0.05,FALSE,FALSE,FALSE
"h18_0357",1.19720237227779,299,514.5,0.05,FALSE,FALSE,FALSE
"h18_0318",1.19721978395473,300,308.5,0,FALSE,FALSE,FALSE
"h18_0585",1.19724478211238,301,302,0,FALSE,FALSE,FALSE
"h18_0063",1.19729262226442,302,159,0,FALSE,FALSE,FALSE
"h18_0061",1.19730056863724,303,84.5,0.05,FALSE,FALSE,FALSE
"h18_0581",1.1973238472271,304,258,0,FALSE,FALSE,FALSE
"h18_0441",1.19732864839813,305,260,0,FALSE,FALSE,FALSE
"h18_0809",1.19736138998398,306,144.5,0.05,FALSE,FALSE,FALSE
"h18_0152",1.1973704552567,307,656,0,FALSE,FALSE,FALSE
"h18_0323",1.19737826618496,308,815,0.05,FALSE,FALSE,FALSE
"h18_0216",1.19741795559996,309,239,0,FALSE,FALSE,FALSE
"h18_0486",1.19743453791636,310,387,0.05,FALSE,FALSE,FALSE
"h18_0198",1.19744184178776,311,245,0.1,FALSE,FALSE,FALSE
"h18_1016",1.19744603162406,312,279,0,FALSE,FALSE,FALSE
"h18_0822",1.19745252081223,313,251,0,FALSE,FALSE,FALSE
"h18_0856",1.19745816430532,314,561,0.05,FALSE,FALSE,FALSE
"h18_0704",1.19746887316752,315,274,0,FALSE,FALSE,FALSE
"h18_0332",1.19751201915118,316,893,0,FALSE,FALSE,FALSE
"h18_0505",1.19751208596205,317,276,0.05,FALSE,FALSE,FALSE
"h18_0631",1.1975616848826,318,300,0,FALSE,FALSE,FALSE
"h18_0602",1.19756839741968,319,355.5,0.1,FALSE,FALSE,FALSE
"h18_0117",1.19758668819388,320,487.5,0,FALSE,FALSE,FALSE
"h18_0744",1.19758787775149,321,474,0,FALSE,FALSE,FALSE
"h18_0449",1.19760029221299,322,411.5,0.05,FALSE,FALSE,FALSE
"h18_1020",1.19761163797315,323,280.5,0,FALSE,FALSE,FALSE
"h18_0115",1.19764499189711,324,384.5,0,FALSE,FALSE,FALSE
"h18_0653",1.1976658876877,325,492.5,0,FALSE,FALSE,FALSE
"h18_0141",1.19767734585945,326,333,0.1,FALSE,FALSE,FALSE
"h18_0949",1.19773006006371,327,186.5,0,FALSE,FALSE,FALSE
"h18_0289",1.1977762775115,328,363.5,0,FALSE,FALSE,FALSE
"h18_0935",1.19783860232469,329,547,0,FALSE,FALSE,FALSE
"h18_0370",1.19785380721189,330,532.5,0.05,FALSE,FALSE,FALSE
"h18_0855",1.1978583350321,331,251,0.1,FALSE,FALSE,FALSE
"h18_0171",1.19786161658851,332,542.5,0,FALSE,FALSE,FALSE
"h18_0870",1.19786255539352,333,251,0,FALSE,FALSE,FALSE
"h18_0050",1.19786687830435,334,411.5,0,FALSE,FALSE,FALSE
"h18_0392",1.19788713602153,335,52.5,0,FALSE,FALSE,FALSE
"h18_0207",1.19789598057892,336,480.5,0,FALSE,FALSE,FALSE
"h18_0515",1.19791436211409,337,867.5,0.05,FALSE,FALSE,FALSE
"h18_0628",1.19792776536686,338,628.5,0.05,FALSE,FALSE,FALSE
"h18_0254",1.19793832538971,339,302,0.05,FALSE,FALSE,FALSE
"h18_0707",1.19793983321791,340,505,0,FALSE,FALSE,FALSE
"h18_0630",1.19794411483696,341,61,0,FALSE,FALSE,FALSE
"h18_0950",1.19798026875722,342,146,0,FALSE,FALSE,FALSE
"h18_0917",1.19799520942268,343,368,0,FALSE,FALSE,FALSE
"h18_0364",1.19801253915121,344,512,0,FALSE,FALSE,FALSE
"h18_0968",1.19801284634049,345,652,0,FALSE,FALSE,FALSE
"h18_0299",1.19801519853014,346,315,0.05,FALSE,FALSE,FALSE
"h18_0597",1.19802152308962,347,448,0.1,FALSE,FALSE,FALSE
"h18_0102",1.19802301172128,348,313,0,FALSE,FALSE,FALSE
"h18_0732",1.19803295317873,349,339.5,0,FALSE,FALSE,FALSE
"h18_0148",1.19806054535206,350,920.5,0,FALSE,FALSE,FALSE
"h18_0734",1.1980822639012,351,316,0,FALSE,FALSE,FALSE
