"n","alpha","two_nah","thr","min_score","margin","n_below"
5000,0.1,139.355625085223,1.17154095692505,0.924638587405523,0.246902369519528,2
10000,0.1,251.188643150958,1.15755245520831,0.935387344209098,0.222165110999213,5
25000,0.1,547.329690258928,1.21672946813833,0.92598398727836,0.290745480859974,21
50000,0.1,986.562273093003,1.23442122290209,0.930936027250996,0.30348519565109,40
100000,0.1,1778.27941003892,1.26147531727547,0.938963210679659,0.32251210659581,52
