"n","p","model","rule","sure4","sure20"
2000,500,"M4","pipeline + 9 min",0,0.375
2000,1000,"M1","screen seul",0.225,0.5
2000,1000,"M1","screen 9 mediane",0.275,0.65
2000,1000,"M1","screen 9 minimum",0.2,0.7
2000,1000,"M1","quantile .95",0.3,0.775
2000,1000,"M1","pipeline + 9 min",0.375,0.825
2000,1000,"M2","screen seul",0.075,0.3
2000,1000,"M2","screen 9 mediane",0,0.275
2000,1000,"M2","screen 9 minimum",0,0.325
2000,1000,"M2","quantile .95",0.05,0.725
2000,1000,"M2","pipeline + 9 min",0.05,0.775
2000,1000,"M3","screen seul",0,0.125
2000,1000,"M3","screen 9 mediane",0.025,0.025
2000,1000,"M3","screen 9 minimum",0,0.225
2000,1000,"M3","quantile .95",0.025,0.275
2000,1000,"M3","pipeline + 9 min",0.05,0.375
2000,1000,"M4","screen seul",0,0.025
2000,1000,"M4","screen 9 mediane",0,0
2000,1000,"M4","screen 9 minimum",0,0
2000,1000,"M4","quantile .95",0,0.175
2000,1000,"M4","pipeline + 9 min",0,0.175
2000,2000,"M1","screen seul",0.2,0.575
2000,2000,"M1","screen 9 mediane",0.225,0.625
2000,2000,"M1","screen 9 minimum",0.2,0.7
2000,2000,"M1","quantile .95",0.225,0.75
2000,2000,"M1","pipeline + 9 min",0.375,0.8
2000,2000,"M2","screen seul",0,0.225
2000,2000,"M2","screen 9 mediane",0.025,0.225
2000,2000,"M2","screen 9 minimum",0.025,0.275
2000,2000,"M2","quantile .95",0.075,0.7
2000,2000,"M2","pipeline + 9 min",0.1,0.725
2000,2000,"M3","screen seul",0,0.075
2000,2000,"M3","screen 9 mediane",0,0
2000,2000,"M3","screen 9 minimum",0,0.05
2000,2000,"M3","quantile .95",0,0.125
2000,2000,"M3","pipeline + 9 min",0,0.175
2000,2000,"M4","screen seul",0,0.025
2000,2000,"M4","screen 9 mediane",0,0.025
2000,2000,"M4","screen 9 minimum",0,0.05
2000,2000,"M4","quantile .95",0,0.025
2000,2000,"M4","pipeline + 9 min",0,0.05
4000,200,"M1","screen seul",0.825,0.975
4000,200,"M1","screen 9 mediane",0.925,1
4000,200,"M1","screen 9 minimum",0.75,1
4000,200,"M1","quantile .95",0.975,1
4000,200,"M1","pipeline + 9 min",0.95,1
4000,200,"M2","screen seul",0.25,0.7
4000,200,"M2","screen 9 mediane",0.4,0.925
4000,200,"M2","screen 9 minimum",0.425,0.975
4000,200,"M2","quantile .95",0.2,1
4000,200,"M2","pipeline + 9 min",0.725,1
4000,200,"M3","screen seul",0.175,0.6
4000,200,"M3","screen 9 mediane",0.125,0.6
4000,200,"M3","screen 9 minimum",0.1,0.75
4000,200,"M3","quantile .95",0.725,1
4000,200,"M3","pipeline + 9 min",0.4,0.975
4000,200,"M4","screen seul",0.075,0.55
4000,200,"M4","screen 9 mediane",0.025,0.35
4000,200,"M4","screen 9 minimum",0.05,0.625
4000,200,"M4","quantile .95",0.6,1
4000,200,"M4","pipeline + 9 min",0.175,0.975
4000,500,"M1","screen seul",0.775,0.975
4000,500,"M1","screen 9 mediane",0.825,1
