"n","p","model","arm","reps","sure4","sure10","sure20","sure30","sure50","ermax","medmax","top4_gamma","top4_scale","top24_scale"
2000,500,"B1","new_sel",1000,0.308,0.61,0.73,0.797,0.858,29.766,7,3.039,0.321,2.73
2000,500,"B1","new_agg",1000,0.448,0.81,0.907,0.93,0.971,9.759,5,3.349,0.185,2.705
2000,500,"B1","prm_sel",1000,0.308,0.61,0.73,0.797,0.858,29.766,7,3.039,0.321,2.73
2000,500,"B1","prm_agg",1000,0.448,0.81,0.907,0.93,0.971,9.759,5,3.349,0.185,2.705
2000,1000,"B1","old_sel",1000,0.249,0.528,0.654,0.715,0.782,59.856,9,2.911,0.314,2.303
2000,1000,"B1","old_agg",1000,0.439,0.754,0.851,0.901,0.938,16.528,5,3.31,0.184,2.281
2000,1000,"B1","new_sel",1000,0.249,0.528,0.654,0.715,0.782,59.856,9,2.911,0.314,2.303
2000,1000,"B1","new_agg",1000,0.368,0.736,0.849,0.898,0.935,17.03,5,3.207,0.151,2.145
2000,1000,"B1","prm_sel",1000,0.249,0.528,0.654,0.715,0.782,59.856,9,2.911,0.314,2.303
2000,1000,"B1","prm_agg",1000,0.368,0.736,0.849,0.898,0.935,17.03,5,3.207,0.151,2.145
2000,2000,"B1","old_sel",1000,0.234,0.487,0.599,0.64,0.72,108.733,11,2.855,0.267,1.715
2000,2000,"B1","old_agg",1000,0.402,0.711,0.813,0.869,0.919,21.995,5,3.243,0.151,1.676
2000,2000,"B1","new_sel",1000,0.234,0.487,0.599,0.64,0.72,108.733,11,2.855,0.267,1.715
2000,2000,"B1","new_agg",1000,0.339,0.696,0.805,0.865,0.919,22.608,6,3.149,0.123,1.567
2000,2000,"B1","prm_sel",1000,0.234,0.487,0.599,0.64,0.72,108.733,11,2.855,0.267,1.715
2000,2000,"B1","prm_agg",1000,0.339,0.696,0.805,0.865,0.919,22.608,6,3.149,0.123,1.567
