"model","signal","n","p","rho","reps","a","b","epsilon","block_size"
"B",1,1000,1000,0,200,0.2,0.2,0.05,128
"B",0.5,1000,1000,0,200,0.2,0.2,0.05,128
"B",0.25,1000,1000,0,200,0.2,0.2,0.05,128
"B",0.1,1000,1000,0,200,0.2,0.2,0.05,128
"C",1,1000,1000,0,200,0.2,0.2,0.05,128
"D",1,1000,1000,0,200,0.2,0.2,0.05,128
"E",1,1000,1000,0,200,0.2,0.2,0.05,128
"F",1,1000,1000,0,200,0.2,0.2,0.05,128
"N",1,1000,1000,0,200,0.2,0.2,0.05,128
