"model","signal","n","p","rho","reps","a","b","epsilon","block_size"
"A",1,1000,1000,0,200,0.2,0.2,0.05,128
"A",1,1000,1000,0.25,200,0.2,0.2,0.05,128
"A",1,1000,1000,0.5,200,0.2,0.2,0.05,128
"A",1,1000,1000,0.75,200,0.2,0.2,0.05,128
