"n","p","rho","model","rule","reps","sure4","sure10","sure20","sure30","sure50","ermax","medmax","top4_gamma","top4_scale","top24_scale"
2000,500,0.25,"A1","tail selected",1000,0.8,0.942,0.967,0.974,0.985,6.575,4,3.793,0.006,0.882
2000,500,0.25,"A1","tail aggregated",1000,0.884,0.982,0.99,0.994,0.998,4.648,4,3.881,0.003,0.849
2000,500,0.25,"A1","Yoshida-Umezu tuned",1000,0.106,0.667,0.827,0.875,0.926,18.34,8,2.4,1.333,3.899
2000,500,0.25,"A1","Yoshida-Umezu paper",1000,0.202,0.384,0.467,0.51,0.569,97.407,29,1.841,0.479,2.322
2000,500,0.25,"A1","quantile .90",1000,0.299,0.774,0.894,0.933,0.965,11.661,6,2.991,0.328,1.973
2000,500,0.25,"A1","quantile .95",1000,0.891,0.993,0.998,1,1,4.233,4,3.888,0.007,1.219
2000,500,0.25,"A1","quantile .99",1000,0.125,0.582,0.852,0.928,0.977,13.041,9,2.447,0.058,0.844
2000,1000,0.25,"A1","tail selected",1000,0.746,0.894,0.934,0.947,0.964,11.738,4,3.729,0.005,0.43
2000,1000,0.25,"A1","tail aggregated",1000,0.823,0.969,0.985,0.99,0.996,5.069,4,3.817,0.001,0.441
2000,1000,0.25,"A1","Yoshida-Umezu tuned",1000,0.11,0.597,0.752,0.812,0.871,31.349,8,2.333,1.253,3.39
2000,1000,0.25,"A1","Yoshida-Umezu paper",1000,0.179,0.332,0.398,0.434,0.486,188.142,58,1.676,0.339,1.583
2000,1000,0.25,"A1","quantile .90",1000,0.219,0.658,0.804,0.872,0.93,18.623,7,2.785,0.285,1.302
2000,1000,0.25,"A1","quantile .95",1000,0.83,0.985,0.997,0.998,0.998,4.629,4,3.824,0.012,0.683
2000,1000,0.25,"A1","quantile .99",1000,0.068,0.354,0.674,0.812,0.928,22.151,15,1.963,0.037,0.404
2000,2000,0.25,"A1","tail selected",1000,0.7,0.883,0.928,0.942,0.951,15.816,4,3.678,0.001,0.228
2000,2000,0.25,"A1","tail aggregated",1000,0.802,0.959,0.981,0.986,0.991,6.208,4,3.795,0.001,0.218
2000,2000,0.25,"A1","Yoshida-Umezu tuned",1000,0.089,0.466,0.625,0.699,0.798,56.922,12,2.232,1.112,2.886
2000,2000,0.25,"A1","Yoshida-Umezu paper",1000,0.125,0.243,0.305,0.35,0.395,432.163,168,1.354,0.302,1.121
2000,2000,0.25,"A1","quantile .90",1000,0.161,0.499,0.665,0.769,0.843,36.634,11,2.458,0.264,0.917
2000,2000,0.25,"A1","quantile .95",1000,0.758,0.973,0.992,0.998,1,4.774,4,3.75,0.003,0.366
2000,2000,0.25,"A1","quantile .99",1000,0.025,0.173,0.406,0.574,0.769,40.232,25,1.466,0.033,0.214
2000,500,0.25,"A2","tail selected",1000,0.17,0.409,0.562,0.636,0.712,58.198,16,2.68,0.054,0.819
2000,500,0.25,"A2","tail aggregated",1000,0.196,0.624,0.797,0.863,0.911,20.256,8,2.863,0.051,0.817
2000,500,0.25,"A2","Yoshida-Umezu tuned",1000,0.071,0.238,0.332,0.387,0.459,121.255,64,1.321,0.734,2.315
2000,500,0.25,"A2","Yoshida-Umezu paper",1000,0.028,0.105,0.178,0.226,0.305,153.93,124,0.928,0.361,1.567
2000,500,0.25,"A2","quantile .90",1000,0.099,0.405,0.597,0.694,0.807,33.843,14,2.354,0.322,1.562
2000,500,0.25,"A2","quantile .95",1000,0.431,0.84,0.93,0.962,0.988,8.208,5,3.351,0.033,0.961
2000,500,0.25,"A2","quantile .99",1000,0.005,0.078,0.268,0.413,0.614,58.508,37,1.184,0.13,0.904
2000,1000,0.25,"A2","tail selected",1000,0.115,0.314,0.445,0.516,0.585,117.478,29,2.496,0.028,0.418
2000,1000,0.25,"A2","tail aggregated",1000,0.151,0.502,0.677,0.755,0.843,39.526,10,2.702,0.025,0.4
2000,1000,0.25,"A2","Yoshida-Umezu tuned",1000,0.048,0.172,0.253,0.297,0.353,240.804,124,1.126,0.714,1.809
2000,1000,0.25,"A2","Yoshida-Umezu paper",1000,0.021,0.078,0.138,0.175,0.225,320.055,256,0.766,0.224,0.916
2000,1000,0.25,"A2","quantile .90",1000,0.059,0.274,0.456,0.557,0.683,68.697,23.5,2.077,0.274,1.048
2000,1000,0.25,"A2","quantile .95",1000,0.303,0.747,0.873,0.924,0.95,14.755,6,3.137,0.035,0.573
2000,1000,0.25,"A2","quantile .99",1000,0.004,0.028,0.103,0.197,0.35,120.469,74,0.797,0.059,0.443
2000,2000,0.25,"A2","tail selected",1000,0.08,0.228,0.325,0.402,0.481,248.828,58,2.275,0.018,0.202
2000,2000,0.25,"A2","tail aggregated",1000,0.088,0.396,0.561,0.648,0.727,76.856,15,2.564,0.014,0.201
2000,2000,0.25,"A2","Yoshida-Umezu tuned",1000,0.026,0.12,0.18,0.221,0.275,482.751,247.5,0.928,0.64,1.424
2000,2000,0.25,"A2","Yoshida-Umezu paper",1000,0.015,0.055,0.084,0.108,0.138,640.23,545,0.617,0.158,0.632
2000,2000,0.25,"A2","quantile .90",1000,0.039,0.191,0.328,0.425,0.544,122.249,42,1.839,0.21,0.664
2000,2000,0.25,"A2","quantile .95",1000,0.234,0.628,0.782,0.835,0.889,24.729,7,2.963,0.01,0.281
2000,2000,0.25,"A2","quantile .99",1000,0,0.006,0.022,0.058,0.147,245.704,154,0.483,0.028,0.225
2000,500,0.25,"A3","tail selected",1000,0.727,0.898,0.939,0.959,0.971,9.845,4,3.704,0.015,0.849
2000,500,0.25,"A3","tail aggregated",1000,0.79,0.974,0.986,0.991,0.996,5.09,4,3.781,0.006,0.835
2000,500,0.25,"A3","Yoshida-Umezu tuned",1000,0.073,0.486,0.674,0.755,0.853,29.669,11,2.047,1.322,3.703
2000,500,0.25,"A3","Yoshida-Umezu paper",1000,0.181,0.411,0.509,0.557,0.626,79.839,20,1.954,0.406,2.097
2000,500,0.25,"A3","quantile .90",1000,0.337,0.786,0.915,0.946,0.971,10.755,5,3.092,0.28,1.859
2000,500,0.25,"A3","quantile .95",1000,0.863,0.994,0.996,0.996,0.999,4.392,4,3.859,0.013,1.147
2000,500,0.25,"A3","quantile .99",1000,0.077,0.475,0.775,0.882,0.959,16.83,11,2.219,0.072,0.848
2000,1000,0.25,"A3","tail selected",1000,0.656,0.846,0.906,0.921,0.942,16.432,4,3.617,0.009,0.44
2000,1000,0.25,"A3","tail aggregated",1000,0.706,0.955,0.98,0.985,0.989,6.691,4,3.691,0.005,0.466
2000,1000,0.25,"A3","Yoshida-Umezu tuned",1000,0.074,0.445,0.601,0.675,0.782,49.079,12.5,2.034,1.179,3.118
2000,1000,0.25,"A3","Yoshida-Umezu paper",1000,0.176,0.353,0.445,0.49,0.558,156.79,34,1.838,0.268,1.39
2000,1000,0.25,"A3","quantile .90",1000,0.249,0.682,0.845,0.9,0.93,18.278,7,2.897,0.285,1.276
2000,1000,0.25,"A3","quantile .95",1000,0.794,0.978,0.992,0.995,0.998,4.733,4,3.792,0.01,0.649
2000,1000,0.25,"A3","quantile .99",1000,0.04,0.294,0.569,0.716,0.857,28.371,18,1.813,0.041,0.428
2000,2000,0.25,"A3","tail selected",1000,0.561,0.792,0.865,0.895,0.927,30.077,4,3.511,0.004,0.204
2000,2000,0.25,"A3","tail aggregated",1000,0.657,0.919,0.963,0.976,0.983,8.143,4,3.625,0.005,0.233
2000,2000,0.25,"A3","Yoshida-Umezu tuned",1000,0.053,0.306,0.454,0.523,0.628,107.968,26.5,1.792,1.111,2.647
2000,2000,0.25,"A3","Yoshida-Umezu paper",1000,0.142,0.294,0.379,0.419,0.481,336.664,67,1.644,0.257,1.087
2000,2000,0.25,"A3","quantile .90",1000,0.171,0.555,0.723,0.787,0.853,36.449,9,2.649,0.222,0.911
2000,2000,0.25,"A3","quantile .95",1000,0.698,0.956,0.988,0.993,0.999,5.365,4,3.688,0.008,0.352
2000,2000,0.25,"A3","quantile .99",1000,0.023,0.138,0.328,0.462,0.667,56.194,34,1.363,0.035,0.221
2000,500,0.25,"B1","tail selected",1000,0.377,0.686,0.79,0.833,0.877,27.451,5,3.213,0.185,1.972
2000,500,0.25,"B1","tail aggregated",1000,0.448,0.81,0.907,0.93,0.971,9.759,5,3.349,0.185,2.705
2000,500,0.25,"B1","Yoshida-Umezu tuned",1000,0.019,0.075,0.191,0.506,0.626,86.522,30,0.66,2.352,13.662
2000,500,0.25,"B1","Yoshida-Umezu paper",1000,0.007,0.031,0.088,0.175,0.285,131.96,108,0.449,1.784,9.839
2000,500,0.25,"B1","quantile .90",1000,0,0.001,0.017,0.99,0.997,24.137,24,0.185,3.815,19.999
2000,500,0.25,"B1","quantile .95",1000,0.03,0.191,0.514,0.994,1,18.019,20,1.52,2.48,19.532
2000,500,0.25,"B1","quantile .99",1000,0.037,0.342,0.665,0.815,0.933,21.329,15,1.931,0.438,4.534
2000,1000,0.25,"B1","tail selected",1000,0.336,0.603,0.725,0.76,0.811,51.241,6,3.098,0.139,1.473
2000,1000,0.25,"B1","tail aggregated",1000,0.368,0.736,0.849,0.898,0.935,17.03,5,3.207,0.151,2.145
2000,1000,0.25,"B1","Yoshida-Umezu tuned",1000,0.014,0.065,0.174,0.424,0.537,160.001,42,0.619,2.213,12.667
2000,1000,0.25,"B1","Yoshida-Umezu paper",1000,0.004,0.022,0.059,0.107,0.182,265.464,206.5,0.392,1.499,8.032
2000,1000,0.25,"B1","quantile .90",1000,0,0,0.014,0.97,0.984,25.652,24,0.185,3.815,19.998
2000,1000,0.25,"B1","quantile .95",1000,0.035,0.183,0.489,0.979,0.994,18.736,21,1.518,2.479,19.384
2000,1000,0.25,"B1","quantile .99",1000,0.02,0.189,0.449,0.619,0.812,35.152,23,1.585,0.319,3.055
2000,2000,0.25,"B1","tail selected",1000,0.312,0.566,0.668,0.71,0.767,75.912,8,3.053,0.131,1.14
2000,2000,0.25,"B1","tail aggregated",1000,0.339,0.696,0.805,0.865,0.919,22.608,6,3.149,0.123,1.567
2000,2000,0.25,"B1","Yoshida-Umezu tuned",1000,0.013,0.06,0.159,0.369,0.451,350.83,72,0.578,2.093,11.909
2000,2000,0.25,"B1","Yoshida-Umezu paper",1000,0.008,0.03,0.057,0.089,0.145,494.455,380,0.359,1.349,6.816
