"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_093",1.23665495349002,233,216.5,242,0.05,FALSE,FALSE,FALSE,FALSE,0.736212328767123,241,253,173
"emb_083",1.23220517242219,160,218.5,213,0,FALSE,FALSE,FALSE,FALSE,0.555506849315068,50,56,234
"emb_234",1.23545362549896,220,218.5,260,0,FALSE,FALSE,FALSE,FALSE,0.690297945205479,236,100,64
"emb_063",1.23210661338674,158,220,224.5,0.05,FALSE,FALSE,FALSE,FALSE,0.551198630136986,116,88,43
"emb_033",1.234431478351,199,221,237,0.05,FALSE,FALSE,FALSE,FALSE,0.649157534246575,55,73,237
"emb_205",1.24158017798138,270,222,268.5,0.05,FALSE,FALSE,FALSE,FALSE,0.881763698630137,103,145,206
"emb_196",1.23760146294494,241,223,256,0.1,FALSE,FALSE,FALSE,FALSE,0.769373287671233,96,248,268
"emb_129",1.2380479501874,245,224,263,0.1,FALSE,FALSE,FALSE,FALSE,0.784198630136986,262,86,221
"emb_002",1.24988906851923,291,226,170,0,FALSE,FALSE,FALSE,FALSE,0.983181506849315,23,23,55
"emb_192",1.23767034839398,243,226,251,0,FALSE,FALSE,FALSE,FALSE,0.771849315068493,184,285,211
"emb_202",1.22543737352408,98,226,193,0.05,FALSE,FALSE,FALSE,FALSE,0.276633561643836,205,156,225
"emb_014",1.23539632334886,219,228,232,0.05,FALSE,FALSE,FALSE,FALSE,0.688013698630137,42,59,286
"emb_195",1.23476800219501,209,229,223,0.1,FALSE,FALSE,FALSE,FALSE,0.66272602739726,186,68,197
"emb_146",1.23557978047188,224,231.5,247,0.05,FALSE,FALSE,FALSE,FALSE,0.695393835616438,155,178,245
"emb_161",1.23279348292407,174,231.5,244,0,FALSE,FALSE,FALSE,FALSE,0.580890410958904,213,238,176
"emb_184",1.24314252403169,278,231.5,266,0.05,FALSE,FALSE,FALSE,FALSE,0.913212328767123,283,256,79
"emb_250",1.24980788837444,290,231.5,262,0.15,FALSE,FALSE,FALSE,FALSE,0.98275,159,160,190
"emb_037",1.24262506617569,276,235,232,0,FALSE,FALSE,FALSE,FALSE,0.903510273972603,137,184,171
"emb_132",1.23561589291086,225,235,254.5,0.1,FALSE,FALSE,FALSE,FALSE,0.696729452054795,256,202,276
"emb_239",1.2367870709462,236,235,208.5,0.1,FALSE,FALSE,FALSE,FALSE,0.741003424657534,144,168,292
"emb_222",1.24051239756651,261,237,273,0.1,FALSE,FALSE,FALSE,FALSE,0.856352739726027,229,151,233
"emb_106",1.22954749497063,137,238,224.5,0.05,FALSE,FALSE,FALSE,FALSE,0.440626712328767,207,276,269
"emb_147",1.23624883603551,231,239.5,244,0,FALSE,FALSE,FALSE,FALSE,0.721534246575342,244,273,163
"emb_150",1.23677746782001,235,239.5,253,0.05,FALSE,FALSE,FALSE,FALSE,0.740626712328767,176,107,141
"emb_159",1.23939001998741,250,241.5,218.5,0.05,FALSE,FALSE,FALSE,FALSE,0.826359589041096,107,236,152
"emb_217",1.24571802955648,284,241.5,259,0,FALSE,FALSE,FALSE,FALSE,0.950664383561644,268,229,214
"emb_086",1.23249312488163,166,243,220,0,FALSE,FALSE,FALSE,FALSE,0.568010273972603,272,143,184
"emb_255",1.24083863735258,265,244,185.5,0,FALSE,FALSE,FALSE,FALSE,0.864565068493151,210,283,244
"len_gzip",1.23225667354845,161,246,251,0.05,FALSE,FALSE,FALSE,FALSE,0.557859589041096,88,54,109
"emb_053",1.23392809346232,193,246,274,0,FALSE,FALSE,FALSE,FALSE,0.628301369863014,196,175,250
"emb_142",1.22831163868849,120,246,192,0,FALSE,FALSE,FALSE,FALSE,0.388301369863014,71,91,106
"emb_154",1.24067501456638,263,248,228,0.05,FALSE,FALSE,FALSE,FALSE,0.860537671232877,74,227,91
"len_bytes",1.23439535730605,198,249,277,0.1,FALSE,FALSE,FALSE,FALSE,0.647708904109589,72,60,129
"len_chars",1.2341991591328,196,250,275,0.05,FALSE,FALSE,FALSE,FALSE,0.63963698630137,73,53,128
"emb_218",1.23763371405593,242,251,276,0,FALSE,FALSE,FALSE,FALSE,0.770534246575342,48,48,243
"emb_017",1.23365034505021,186,252,268.5,0.05,FALSE,FALSE,FALSE,FALSE,0.61666095890411,206,254,223
"emb_188",1.23598282231951,228,253,266,0,FALSE,FALSE,FALSE,FALSE,0.711078767123288,222,277,94
"rate_punct",1.24784976391572,287,254.5,257,0.1,FALSE,FALSE,FALSE,FALSE,0.970558219178082,39,44,136
"emb_000",1.23360193958181,184,254.5,266,0.15,FALSE,FALSE,FALSE,FALSE,0.614691780821918,1,1,4
"emb_204",1.23853983983866,247,256,283,0,FALSE,FALSE,FALSE,FALSE,0.800202054794521,238,203,117
"emb_069",1.23777182588278,244,257.5,216,0.1,FALSE,FALSE,FALSE,FALSE,0.775270547945205,257,74,247
