"","1000","1500","2000","3000","5000","10000"
"quantile 0.90",1.65,1.7,1.6,1.55,1.55,1.65
"quantile 0.95",1.8,1.5,1.8,1.65,1.75,1.9
"quantile 0.99",0.35,1.2,1.6,1.45,1.95,1.95
"tail aggregated",1.6,1.75,1.65,1.6,1.95,2
"tail selected",1.55,1.6,1.55,1.55,1.9,1.95
"Yoshida-Umezu h=2",0.9,1.15,1.15,1.25,0.9,1
"Yoshida-Umezu paper",0.6,0.95,0.85,1.05,0.8,1.1
