doc_id,stored,fp32,fp64,ecart
<urn:uuid:a81cf1d0-baa6-4942-a2da-2aa96c863ed0>,19.904321670532227,19.904321670532227,19.90440659297111,8.492243888369444e-05
<urn:uuid:892f8852-5ab3-44cc-9eee-104df5bb4bc3>,16.70947265625,16.70947265625,16.709458053994247,-1.4602255753004556e-05
<urn:uuid:3813f6d7-f960-4904-89a8-d137b28f6bc2>,18.327587127685547,18.327587127685547,18.32762092451019,3.379682464199618e-05
<urn:uuid:e8f22bfb-4011-4530-88a7-7febf55463fc>,18.231155395507812,18.231155395507812,18.231304159254915,0.00014876374710226514
<urn:uuid:afe5037b-5aa8-4fb1-9292-84c5cf8b5373>,19.699905395507812,19.699905395507812,19.70022875771866,0.00032336221084605654
<urn:uuid:2f6f50fd-b8fe-4837-847b-02f8c0ae1009>,18.64191246032715,18.64191246032715,18.64196864493728,5.6184610130571855e-05
<urn:uuid:76ab7540-f5b6-4626-89f0-1d7a2dc29b88>,16.719205856323242,16.719205856323242,16.719161056561248,-4.479976199434077e-05
<urn:uuid:6739e99b-4590-40f2-980a-f4823e9abfda>,18.647626876831055,18.647626876831055,18.647829164746877,0.00020228791582255212
<urn:uuid:8b06d221-8919-46b4-a2be-0b83722c9ea8>,17.741981506347656,17.741981506347656,17.741984394229473,2.887881816349136e-06
<urn:uuid:82d2e350-c6fe-4b5a-b047-075bba15b62f>,17.882526397705078,17.882526397705078,17.882509611418556,-1.67862865225743e-05
<urn:uuid:d9c3d1be-abc7-4d31-8865-75e3aea921b5>,16.55936622619629,16.55936622619629,16.559391835927396,2.560973110732334e-05
<urn:uuid:bf030e80-33ee-4156-a9bc-f76eb2d0c6c7>,17.2917537689209,17.2917537689209,17.29169534470954,-5.84242113568223e-05
<urn:uuid:432d091b-ca6b-451d-a9c4-8d3ba4f301dd>,16.864286422729492,16.864286422729492,16.864367102285062,8.067955556967377e-05
<urn:uuid:a93d5bfa-0b43-4200-aa6c-72591fa3f23d>,16.905651092529297,16.905651092529297,16.905709270254142,5.817772484562056e-05
<urn:uuid:c86d7857-c186-42c7-abed-d992a21fc2a7>,18.260549545288086,18.260549545288086,18.26065086900292,0.00010132371483351221
<urn:uuid:a0db39c8-033d-4faf-a9e0-52a510ff1306>,17.946338653564453,17.946338653564453,17.946481722303627,0.00014306873917391272
<urn:uuid:4eaa33d3-7968-49b3-8896-54dcf03e32ea>,19.33463478088379,19.33463478088379,19.334903073618833,0.00026829273504347384
<urn:uuid:e6059e00-5806-4cb1-834e-18dbe94e57d7>,17.263553619384766,17.263553619384766,17.263612122542813,5.850315804778461e-05
<urn:uuid:7f1c1f95-9902-4e59-aaec-48b8c0de37ab>,16.831501007080078,16.831501007080078,16.83154531666712,4.430958704304544e-05
<urn:uuid:3858ff5c-1107-41ed-b0e4-838c13d687d5>,16.806833267211914,16.806833267211914,16.807106214016105,0.0002729468041913208
<urn:uuid:ea7c78f0-12c7-48b9-ac9f-4c770bb2b5ec>,16.745426177978516,16.745426177978516,16.745454375802993,2.8197824477160793e-05
