"n","p","rho","model","rule","reps","sure4","sure10","sure20","sure30","sure50","ermax","medmax","top4_gamma","top4_scale","top24_scale"
2000,500,0.25,"A3","tail selected",1000,0.775,0.924,0.966,0.98,0.987,7.037,4,3.768,0.007,0.79
2000,500,0.25,"A3","tail aggregated",1000,0.839,0.976,0.986,0.992,0.997,4.941,4,3.834,0.013,0.901
2000,500,0.25,"A3","Yoshida-Umezu",1000,0.181,0.411,0.509,0.557,0.626,79.839,20,1.954,0.406,2.097
2000,500,0.25,"A3","quantile .90",1000,0.337,0.786,0.915,0.946,0.971,10.755,5,3.092,0.28,1.859
2000,500,0.25,"A3","quantile .95",1000,0.863,0.994,0.996,0.996,0.999,4.392,4,3.859,0.013,1.147
2000,500,0.25,"A3","quantile .99",1000,0.077,0.475,0.775,0.882,0.959,16.83,11,2.219,0.072,0.848
2000,1000,0.25,"A3","tail selected",1000,0.747,0.898,0.938,0.949,0.967,11.04,4,3.732,0.006,0.386
2000,1000,0.25,"A3","tail aggregated",1000,0.768,0.962,0.98,0.985,0.99,6.474,4,3.755,0.007,0.495
2000,1000,0.25,"A3","Yoshida-Umezu",1000,0.176,0.353,0.445,0.49,0.558,156.79,34,1.838,0.268,1.39
2000,1000,0.25,"A3","quantile .90",1000,0.249,0.682,0.845,0.9,0.93,18.278,7,2.897,0.285,1.276
2000,1000,0.25,"A3","quantile .95",1000,0.794,0.978,0.992,0.995,0.998,4.733,4,3.792,0.01,0.649
2000,1000,0.25,"A3","quantile .99",1000,0.04,0.294,0.569,0.716,0.857,28.371,18,1.813,0.041,0.428
2000,2000,0.25,"A3","tail selected",1000,0.65,0.849,0.892,0.912,0.935,22.045,4,3.617,0.002,0.216
2000,2000,0.25,"A3","tail aggregated",1000,0.723,0.927,0.964,0.976,0.983,7.886,4,3.697,0.006,0.266
2000,2000,0.25,"A3","Yoshida-Umezu",1000,0.142,0.294,0.379,0.419,0.481,336.664,67,1.644,0.257,1.087
2000,2000,0.25,"A3","quantile .90",1000,0.171,0.555,0.723,0.787,0.853,36.449,9,2.649,0.222,0.911
2000,2000,0.25,"A3","quantile .95",1000,0.698,0.956,0.988,0.993,0.999,5.365,4,3.688,0.008,0.352
2000,2000,0.25,"A3","quantile .99",1000,0.023,0.138,0.328,0.462,0.667,56.194,34,1.363,0.035,0.221
2000,500,0.25,"B1","tail selected",1000,0.308,0.61,0.73,0.797,0.858,29.766,7,3.039,0.321,2.73
2000,500,0.25,"B1","tail aggregated",1000,0.523,0.829,0.911,0.934,0.971,9.311,4,3.447,0.194,2.871
2000,500,0.25,"B1","Yoshida-Umezu",1000,0.007,0.031,0.088,0.175,0.285,131.96,108,0.449,1.784,9.839
2000,500,0.25,"B1","quantile .90",1000,0,0.001,0.017,0.99,0.997,24.137,24,0.185,3.815,19.999
2000,500,0.25,"B1","quantile .95",1000,0.03,0.191,0.514,0.994,1,18.019,20,1.52,2.48,19.532
2000,500,0.25,"B1","quantile .99",1000,0.037,0.342,0.665,0.815,0.933,21.329,15,1.931,0.438,4.534
2000,1000,0.25,"B1","tail selected",1000,0.249,0.528,0.654,0.715,0.782,59.856,9,2.911,0.314,2.303
2000,1000,0.25,"B1","tail aggregated",1000,0.439,0.754,0.851,0.901,0.938,16.528,5,3.31,0.184,2.281
2000,1000,0.25,"B1","Yoshida-Umezu",1000,0.004,0.022,0.059,0.107,0.182,265.464,206.5,0.392,1.499,8.032
2000,1000,0.25,"B1","quantile .90",1000,0,0,0.014,0.97,0.984,25.652,24,0.185,3.815,19.998
2000,1000,0.25,"B1","quantile .95",1000,0.035,0.183,0.489,0.979,0.994,18.736,21,1.518,2.479,19.384
2000,1000,0.25,"B1","quantile .99",1000,0.02,0.189,0.449,0.619,0.812,35.152,23,1.585,0.319,3.055
2000,2000,0.25,"B1","tail selected",1000,0.234,0.487,0.599,0.64,0.72,108.733,11,2.855,0.267,1.715
2000,2000,0.25,"B1","tail aggregated",1000,0.402,0.711,0.813,0.869,0.919,21.995,5,3.243,0.151,1.676
2000,2000,0.25,"B1","Yoshida-Umezu",1000,0.008,0.03,0.057,0.089,0.145,494.455,380,0.359,1.349,6.816
2000,2000,0.25,"B1","quantile .90",1000,0,0,0.012,0.963,0.992,25.116,24,0.208,3.792,19.997
2000,2000,0.25,"B1","quantile .95",1000,0.038,0.191,0.482,0.972,0.997,19.015,21,1.568,2.428,19.051
2000,2000,0.25,"B1","quantile .99",1000,0.008,0.101,0.254,0.383,0.584,61.674,39,1.175,0.205,1.85
