"model","n","p","rho","rule","reps","sure4","sure10","sure20","sure30","sure50","sure100","sure20_fair"
"M1",5000,1000,0.3,"qsis",40,1,1,1,1,1,1,1
"M1",5000,1000,0.3,"union",40,1,1,1,1,1,1,1
"M1",5000,1000,0.3,"inter",40,1,1,1,1,1,1,1
"M1",5000,1000,0.4,"ours",40,1,1,1,1,1,1,1
"M1",5000,1000,0.4,"qsis",40,1,1,1,1,1,1,1
"M1",5000,1000,0.4,"union",40,1,1,1,1,1,1,1
"M1",5000,1000,0.4,"inter",40,1,1,1,1,1,1,1
"M1",5000,1000,0.5,"ours",40,1,1,1,1,1,1,1
"M1",5000,1000,0.5,"qsis",40,0.975,1,1,1,1,1,1
"M1",5000,1000,0.5,"union",40,1,1,1,1,1,1,1
"M1",5000,1000,0.5,"inter",40,0.975,1,1,1,1,1,1
"M1",5000,2000,0,"ours",40,0.9,0.975,0.975,0.975,0.975,0.975,0.975
"M1",5000,2000,0,"qsis",40,1,1,1,1,1,1,1
"M1",5000,2000,0,"union",40,1,1,1,1,1,1,1
"M1",5000,2000,0,"inter",40,0.9,0.975,0.975,0.975,0.975,0.975,0.975
"M1",5000,2000,0.2,"ours",40,0.975,1,1,1,1,1,1
"M1",5000,2000,0.2,"qsis",40,1,1,1,1,1,1,1
"M1",5000,2000,0.2,"union",40,1,1,1,1,1,1,1
"M1",5000,2000,0.2,"inter",40,0.975,1,1,1,1,1,1
"M1",5000,2000,0.25,"ours",40,1,1,1,1,1,1,1
"M1",5000,2000,0.25,"qsis",40,1,1,1,1,1,1,1
"M1",5000,2000,0.25,"union",40,1,1,1,1,1,1,1
"M1",5000,2000,0.25,"inter",40,1,1,1,1,1,1,1
"M1",5000,2000,0.3,"ours",40,1,1,1,1,1,1,1
"M1",5000,2000,0.3,"qsis",40,1,1,1,1,1,1,1
"M1",5000,2000,0.3,"union",40,1,1,1,1,1,1,1
"M1",5000,2000,0.3,"inter",40,1,1,1,1,1,1,1
"M1",5000,2000,0.4,"ours",40,1,1,1,1,1,1,1
"M1",5000,2000,0.4,"qsis",40,1,1,1,1,1,1,1
"M1",5000,2000,0.4,"union",40,1,1,1,1,1,1,1
"M1",5000,2000,0.4,"inter",40,1,1,1,1,1,1,1
"M1",5000,2000,0.5,"ours",40,1,1,1,1,1,1,1
"M1",5000,2000,0.5,"qsis",40,1,1,1,1,1,1,1
"M1",5000,2000,0.5,"union",40,1,1,1,1,1,1,1
"M1",5000,2000,0.5,"inter",40,1,1,1,1,1,1,1
"M2",2000,1000,0,"ours",40,0.025,0.175,0.225,0.3,0.325,0.45,0.225
"M2",2000,1000,0,"qsis",40,0.025,0.55,0.775,0.8,0.9,1,0.775
"M2",2000,1000,0,"union",40,0.125,0.575,0.775,0.825,0.925,1,0.575
"M2",2000,1000,0,"inter",40,0.025,0.15,0.225,0.3,0.325,0.45,0.225
"M2",2000,1000,0.2,"ours",40,0.3,0.425,0.525,0.55,0.6,0.8,0.525
"M2",2000,1000,0.2,"qsis",40,0.15,0.775,0.95,0.975,0.975,1,0.95
"M2",2000,1000,0.2,"union",40,0.4,0.775,0.975,0.975,0.975,1,0.775
"M2",2000,1000,0.2,"inter",40,0.125,0.425,0.5,0.55,0.6,0.8,0.5
"M2",2000,1000,0.25,"ours",40,0.2,0.35,0.55,0.575,0.6,0.725,0.55
"M2",2000,1000,0.25,"qsis",40,0.225,0.875,0.975,0.975,1,1,0.975
"M2",2000,1000,0.25,"union",40,0.4,0.9,0.975,0.975,1,1,0.9
"M2",2000,1000,0.25,"inter",40,0.125,0.35,0.55,0.575,0.6,0.725,0.55
"M2",2000,2000,0,"ours",40,0.025,0.125,0.175,0.2,0.225,0.3,0.175
"M2",2000,2000,0,"qsis",40,0.075,0.5,0.6,0.75,0.85,0.95,0.6
"M2",2000,2000,0,"union",40,0.1,0.525,0.65,0.8,0.875,0.95,0.525
"M2",2000,2000,0,"inter",40,0,0.125,0.175,0.2,0.225,0.3,0.175
"M2",2000,2000,0.2,"ours",40,0.1,0.35,0.375,0.45,0.475,0.55,0.375
"M2",2000,2000,0.2,"qsis",40,0.075,0.75,0.825,0.9,0.925,0.975,0.825
"M2",2000,2000,0.2,"union",40,0.2,0.825,0.875,0.95,0.95,0.975,0.825
"M2",2000,2000,0.2,"inter",40,0,0.275,0.325,0.4,0.45,0.55,0.325
"M2",2000,2000,0.25,"ours",40,0.175,0.425,0.525,0.625,0.7,0.8,0.525
"M2",2000,2000,0.25,"qsis",40,0.175,0.7,0.875,0.925,0.925,1,0.875
"M2",2000,2000,0.25,"union",40,0.25,0.75,0.875,0.925,0.95,1,0.75
"M2",2000,2000,0.25,"inter",40,0.125,0.375,0.525,0.625,0.675,0.8,0.525
"M2",2000,2000,0.3,"ours",40,0.175,0.375,0.475,0.525,0.65,0.775,0.475
"M2",2000,2000,0.3,"qsis",40,0.175,0.825,0.925,0.95,0.95,0.95,0.925
