"covariate","block","score","rank_sel","rank_agg","rank_q95","freq_top20","p_marginal","below_fam05","below_mrg05","below_mrg01"
"enc_0153","encoder",1.34514127333103,232,305,288,0.15,0.49364989059081,FALSE,FALSE,FALSE
"u_Zs","surface",1.34524381710736,233,232,116,0.1,0.4955295404814,FALSE,FALSE,FALSE
"enc_0347","encoder",1.34543561681896,234,246,132,0,0.499231947483589,FALSE,FALSE,FALSE
"enc_0067","encoder",1.34544265121663,235,150,131,0.15,0.499345733041575,FALSE,FALSE,FALSE
"tri_0023","trigram",1.34551753311152,236,261,347,0.05,0.500814004376368,FALSE,FALSE,FALSE
"enc_0134","encoder",1.34566322701886,237,188,359,0.05,0.503577680525164,FALSE,FALSE,FALSE
"enc_0107","encoder",1.34567315689324,238,75,225,0.15,0.503715536105033,FALSE,FALSE,FALSE
"enc_0104","encoder",1.34611416972362,239,382,126,0.05,0.512019693654267,FALSE,FALSE,FALSE
"enc_0280","encoder",1.34612242825661,240,274,229,0.05,0.51219693654267,FALSE,FALSE,FALSE
"enc_0245","encoder",1.34659714551857,241,204,353,0.2,0.521433260393873,FALSE,FALSE,FALSE
"enc_0056","encoder",1.34674986021643,242,247,29,0,0.524347921225383,FALSE,FALSE,FALSE
"tri_0037","trigram",1.34688049151049,243,344,192,0.1,0.526932166301969,FALSE,FALSE,FALSE
"enc_0271","encoder",1.34688135897566,244,388,300,0,0.526960612691466,FALSE,FALSE,FALSE
"enc_0297","encoder",1.34726209992948,245,325,281,0.05,0.534280087527352,FALSE,FALSE,FALSE
"enc_0192","encoder",1.34730969937458,246,402,142,0.05,0.535181619256017,FALSE,FALSE,FALSE
"enc_0098","encoder",1.34736105400203,247,333,383,0,0.536172866520788,FALSE,FALSE,FALSE
"enc_0185","encoder",1.34738293789518,248,222,405,0,0.536577680525164,FALSE,FALSE,FALSE
"enc_0221","encoder",1.34762862435853,249,199,426,0,0.541363238512035,FALSE,FALSE,FALSE
"enc_0156","encoder",1.34780201743178,250,259,203,0,0.54471772428884,FALSE,FALSE,FALSE
"enc_0235","encoder",1.34784586759649,251,121,219,0,0.545540481400438,FALSE,FALSE,FALSE
"enc_0021","encoder",1.34784766070252,252,379,298,0.1,0.545577680525164,FALSE,FALSE,FALSE
"enc_0160","encoder",1.34803111378786,253,134,68,0,0.549052516411379,FALSE,FALSE,FALSE
"enc_0045","encoder",1.34803892374676,254,345,230,0.15,0.549212253829322,FALSE,FALSE,FALSE
"enc_0289","encoder",1.3481045342637,255,238,138,0,0.550525164113786,FALSE,FALSE,FALSE
"tri_0008","trigram",1.34845000416037,256,271,24,0,0.557221006564551,FALSE,FALSE,FALSE
"enc_0019","encoder",1.3484544683685,257,353,59,0,0.557297592997812,FALSE,FALSE,FALSE
"enc_0144","encoder",1.34849823848477,258,406,136,0,0.558063457330416,FALSE,FALSE,FALSE
"s_sdline","surface",1.34881673553567,259,11,176,0.15,0.564159737417943,FALSE,FALSE,FALSE
"enc_0190","encoder",1.34888052541729,260,385,333,0.15,0.565369803063457,FALSE,FALSE,FALSE
"enc_0092","encoder",1.34895780746876,261,296,357,0,0.566787746170678,FALSE,FALSE,FALSE
"enc_0303","encoder",1.34904025199155,262,275,238,0.15,0.568404814004376,FALSE,FALSE,FALSE
"enc_0305","encoder",1.34908783971962,263,337,159,0.05,0.569389496717724,FALSE,FALSE,FALSE
"enc_0265","encoder",1.34940451465769,264,86,409,0.05,0.575387308533917,FALSE,FALSE,FALSE
"enc_0040","encoder",1.3494297700783,265,291,348,0,0.575846827133479,FALSE,FALSE,FALSE
"enc_0287","encoder",1.34961822352999,266,292,385,0.05,0.579498905908096,FALSE,FALSE,FALSE
"enc_0103","encoder",1.34968846638242,267,282,14,0.1,0.580881838074398,FALSE,FALSE,FALSE
"enc_0015","encoder",1.34977924880611,268,396,448,0.05,0.582601750547046,FALSE,FALSE,FALSE
"tri_0031","trigram",1.35008645464221,269,400,169,0,0.588479212253829,FALSE,FALSE,FALSE
"enc_0228","encoder",1.35012174338603,270,311,293,0,0.589096280087527,FALSE,FALSE,FALSE
"enc_0204","encoder",1.35028783424819,271,210,402,0,0.592284463894967,FALSE,FALSE,FALSE
"enc_0277","encoder",1.35102464378603,272,175,243,0.05,0.606501094091904,FALSE,FALSE,FALSE
"enc_0013","encoder",1.3510270309662,273,390,16,0.05,0.606540481400438,FALSE,FALSE,FALSE
"tri_0030","trigram",1.35105853102269,274,233,170,0.05,0.607168490153173,FALSE,FALSE,FALSE
"enc_0117","encoder",1.35113125638651,275,372,277,0,0.608568927789934,FALSE,FALSE,FALSE
"enc_0285","encoder",1.35113923088061,276,148,227,0,0.608704595185996,FALSE,FALSE,FALSE
"enc_0263","encoder",1.3513823517737,277,299,145,0.05,0.613260393873085,FALSE,FALSE,FALSE
"enc_0012","encoder",1.35150493351257,278,347,307,0,0.615665207877462,FALSE,FALSE,FALSE
"enc_0366","encoder",1.35159211868504,279,170,299,0.05,0.617280087527352,FALSE,FALSE,FALSE
"enc_0314","encoder",1.35200184970692,280,422,144,0.1,0.624877461706783,FALSE,FALSE,FALSE
"enc_0090","encoder",1.35209909338894,281,284,450,0.1,0.626783369803063,FALSE,FALSE,FALSE
"tri_0014","trigram",1.35218891608792,282,324,123,0,0.628514223194748,FALSE,FALSE,FALSE
"enc_0049","encoder",1.35237305994483,283,149,113,0.1,0.632028446389497,FALSE,FALSE,FALSE
"enc_0124","encoder",1.35241785142429,284,304,355,0,0.632814004376368,FALSE,FALSE,FALSE
"rep_5top","surface",1.35277972709715,285,287,232,0,0.639665207877462,FALSE,FALSE,FALSE
"enc_0001","encoder",1.35287006556482,286,331,432,0.05,0.641336980306346,FALSE,FALSE,FALSE
"enc_0216","encoder",1.35307469054457,287,234,404,0.1,0.645245076586433,FALSE,FALSE,FALSE
"enc_0042","encoder",1.35312112953552,288,242,425,0,0.646100656455142,FALSE,FALSE,FALSE
"enc_0318","encoder",1.35317335226789,289,397,75,0,0.647061269146608,FALSE,FALSE,FALSE
"enc_0083","encoder",1.35328485485414,290,215,289,0.05,0.649133479212254,FALSE,FALSE,FALSE
"enc_0331","encoder",1.35342774167828,291,147,271,0.05,0.651846827133479,FALSE,FALSE,FALSE
"enc_0241","encoder",1.35359558411545,292,428,250,0.05,0.654881838074398,FALSE,FALSE,FALSE
"enc_0300","encoder",1.35386576109962,293,310,374,0,0.659704595185996,FALSE,FALSE,FALSE
"enc_0348","encoder",1.35412593318649,294,96,305,0.05,0.66454704595186,FALSE,FALSE,FALSE
"enc_0186","encoder",1.3541695062351,295,161,218,0.05,0.665312910284464,FALSE,FALSE,FALSE
"enc_0172","encoder",1.35432693818503,296,371,420,0.05,0.668113785557987,FALSE,FALSE,FALSE
"enc_0382","encoder",1.35468063362808,297,297,244,0.1,0.674361050328228,FALSE,FALSE,FALSE
"enc_0243","encoder",1.35480607678689,298,363,378,0.05,0.676654266958424,FALSE,FALSE,FALSE
"enc_0323","encoder",1.35486566580657,299,403,128,0,0.677794310722101,FALSE,FALSE,FALSE
"enc_0101","encoder",1.35489917869373,300,419,96,0,0.678339168490153,FALSE,FALSE,FALSE
"enc_0254","encoder",1.35505960694926,301,362,396,0,0.681111597374179,FALSE,FALSE,FALSE
"tri_0012","trigram",1.35511017962814,302,408,438,0.05,0.682039387308534,FALSE,FALSE,FALSE
"enc_0239","encoder",1.35522803807855,303,89,11,0.05,0.684080962800875,FALSE,FALSE,FALSE
"tri_0033","trigram",1.35530346346491,304,346,431,0,0.685435448577681,FALSE,FALSE,FALSE
