"n","rep","regle","hits10","hits20","worst"
5000,15,"Yoshida-Umezu h=2",1,1,32
5000,15,"quantile 0.90",2,2,10
5000,15,"quantile 0.95",2,2,3
5000,15,"quantile 0.99",2,2,4
5000,16,"tail selected",2,2,8
5000,16,"tail aggregated",2,2,5
5000,16,"Yoshida-Umezu paper",0,0,89
5000,16,"Yoshida-Umezu h=2",2,2,5
5000,16,"quantile 0.90",2,2,3
5000,16,"quantile 0.95",2,2,3
5000,16,"quantile 0.99",2,2,3
5000,17,"tail selected",2,2,3
5000,17,"tail aggregated",2,2,3
5000,17,"Yoshida-Umezu paper",2,2,8
5000,17,"Yoshida-Umezu h=2",1,1,131
5000,17,"quantile 0.90",2,2,3
5000,17,"quantile 0.95",2,2,3
5000,17,"quantile 0.99",2,2,9
5000,18,"tail selected",2,2,3
5000,18,"tail aggregated",2,2,4
5000,18,"Yoshida-Umezu paper",0,0,133
5000,18,"Yoshida-Umezu h=2",1,1,144
5000,18,"quantile 0.90",2,2,3
5000,18,"quantile 0.95",2,2,4
5000,18,"quantile 0.99",2,2,4
5000,19,"tail selected",2,2,5
5000,19,"tail aggregated",2,2,5
5000,19,"Yoshida-Umezu paper",1,1,138
5000,19,"Yoshida-Umezu h=2",1,1,22
5000,19,"quantile 0.90",1,1,80
5000,19,"quantile 0.95",1,1,52
5000,19,"quantile 0.99",2,2,5
5000,20,"tail selected",2,2,4
5000,20,"tail aggregated",2,2,4
5000,20,"Yoshida-Umezu paper",0,0,169
5000,20,"Yoshida-Umezu h=2",0,0,172
5000,20,"quantile 0.90",1,1,25
5000,20,"quantile 0.95",2,2,4
5000,20,"quantile 0.99",2,2,3
10000,1,"tail selected",2,2,3
10000,1,"tail aggregated",2,2,3
10000,1,"Yoshida-Umezu paper",0,0,176
10000,1,"Yoshida-Umezu h=2",2,2,3
10000,1,"quantile 0.90",2,2,7
10000,1,"quantile 0.95",2,2,3
10000,1,"quantile 0.99",2,2,3
10000,2,"tail selected",2,2,7
10000,2,"tail aggregated",2,2,4
10000,2,"Yoshida-Umezu paper",2,2,3
10000,2,"Yoshida-Umezu h=2",1,1,77
10000,2,"quantile 0.90",1,2,14
10000,2,"quantile 0.95",2,2,3
10000,2,"quantile 0.99",2,2,4
10000,3,"tail selected",2,2,5
10000,3,"tail aggregated",2,2,4
10000,3,"Yoshida-Umezu paper",0,0,190
10000,3,"Yoshida-Umezu h=2",1,1,44
10000,3,"quantile 0.90",1,1,48
10000,3,"quantile 0.95",1,2,20
10000,3,"quantile 0.99",2,2,3
10000,4,"tail selected",2,2,4
10000,4,"tail aggregated",2,2,4
10000,4,"Yoshida-Umezu paper",1,2,11
10000,4,"Yoshida-Umezu h=2",0,1,41
10000,4,"quantile 0.90",2,2,8
10000,4,"quantile 0.95",2,2,3
10000,4,"quantile 0.99",2,2,4
10000,5,"tail selected",2,2,3
10000,5,"tail aggregated",2,2,4
10000,5,"Yoshida-Umezu paper",2,2,9
10000,5,"Yoshida-Umezu h=2",1,2,12
10000,5,"quantile 0.90",2,2,4
10000,5,"quantile 0.95",2,2,4
10000,5,"quantile 0.99",2,2,4
10000,6,"tail selected",2,2,3
10000,6,"tail aggregated",2,2,3
10000,6,"Yoshida-Umezu paper",0,0,124
10000,6,"Yoshida-Umezu h=2",1,1,244
10000,6,"quantile 0.90",2,2,3
10000,6,"quantile 0.95",2,2,3
10000,6,"quantile 0.99",2,2,3
10000,7,"tail selected",2,2,4
10000,7,"tail aggregated",2,2,4
10000,7,"Yoshida-Umezu paper",0,0,132
10000,7,"Yoshida-Umezu h=2",1,1,87
10000,7,"quantile 0.90",2,2,3
10000,7,"quantile 0.95",2,2,3
10000,7,"quantile 0.99",2,2,4
10000,8,"tail selected",2,2,3
10000,8,"tail aggregated",2,2,3
10000,8,"Yoshida-Umezu paper",1,2,13
10000,8,"Yoshida-Umezu h=2",1,1,137
10000,8,"quantile 0.90",1,1,83
10000,8,"quantile 0.95",1,1,86
10000,8,"quantile 0.99",2,2,4
10000,9,"tail selected",2,2,3
10000,9,"tail aggregated",2,2,3
10000,9,"Yoshida-Umezu paper",0,0,60
10000,9,"Yoshida-Umezu h=2",1,1,139
10000,9,"quantile 0.90",2,2,8
10000,9,"quantile 0.95",2,2,6
10000,9,"quantile 0.99",2,2,4
10000,10,"tail selected",2,2,3
10000,10,"tail aggregated",2,2,3
10000,10,"Yoshida-Umezu paper",1,1,191
10000,10,"Yoshida-Umezu h=2",1,2,19
10000,10,"quantile 0.90",2,2,7
10000,10,"quantile 0.95",2,2,3
10000,10,"quantile 0.99",2,2,3
10000,11,"tail selected",2,2,4
10000,11,"tail aggregated",2,2,4
10000,11,"Yoshida-Umezu paper",2,2,4
10000,11,"Yoshida-Umezu h=2",1,1,196
10000,11,"quantile 0.90",1,2,11
10000,11,"quantile 0.95",2,2,3
10000,11,"quantile 0.99",2,2,3
10000,12,"tail selected",2,2,3
10000,12,"tail aggregated",2,2,3
10000,12,"Yoshida-Umezu paper",0,0,174
10000,12,"Yoshida-Umezu h=2",1,1,96
10000,12,"quantile 0.90",1,1,42
10000,12,"quantile 0.95",2,2,5
10000,12,"quantile 0.99",1,2,14
10000,13,"tail selected",2,2,4
10000,13,"tail aggregated",2,2,4
10000,13,"Yoshida-Umezu paper",2,2,4
10000,13,"Yoshida-Umezu h=2",1,1,67
10000,13,"quantile 0.90",2,2,9
10000,13,"quantile 0.95",2,2,8
10000,13,"quantile 0.99",2,2,3
10000,14,"tail selected",2,2,4
10000,14,"tail aggregated",2,2,3
10000,14,"Yoshida-Umezu paper",1,1,89
10000,14,"Yoshida-Umezu h=2",1,1,134
10000,14,"quantile 0.90",2,2,7
10000,14,"quantile 0.95",2,2,3
10000,14,"quantile 0.99",2,2,3
10000,15,"tail selected",2,2,3
10000,15,"tail aggregated",2,2,3
10000,15,"Yoshida-Umezu paper",0,0,171
10000,15,"Yoshida-Umezu h=2",2,2,6
10000,15,"quantile 0.90",2,2,7
10000,15,"quantile 0.95",2,2,3
10000,15,"quantile 0.99",2,2,4
10000,16,"tail selected",2,2,4
10000,16,"tail aggregated",2,2,7
10000,16,"Yoshida-Umezu paper",2,2,4
10000,16,"Yoshida-Umezu h=2",1,1,21
10000,16,"quantile 0.90",2,2,8
10000,16,"quantile 0.95",2,2,6
10000,16,"quantile 0.99",2,2,4
10000,17,"tail selected",2,2,3
10000,17,"tail aggregated",2,2,3
10000,17,"Yoshida-Umezu paper",2,2,3
10000,17,"Yoshida-Umezu h=2",1,1,66
10000,17,"quantile 0.90",1,2,11
10000,17,"quantile 0.95",2,2,3
10000,17,"quantile 0.99",2,2,3
10000,18,"tail selected",1,1,37
10000,18,"tail aggregated",2,2,3
10000,18,"Yoshida-Umezu paper",2,2,8
10000,18,"Yoshida-Umezu h=2",1,1,151
10000,18,"quantile 0.90",2,2,6
10000,18,"quantile 0.95",2,2,3
10000,18,"quantile 0.99",2,2,4
10000,19,"tail selected",2,2,3
10000,19,"tail aggregated",2,2,3
10000,19,"Yoshida-Umezu paper",2,2,3
10000,19,"Yoshida-Umezu h=2",1,1,33
10000,19,"quantile 0.90",2,2,8
10000,19,"quantile 0.95",2,2,3
10000,19,"quantile 0.99",2,2,4
10000,20,"tail selected",2,2,3
10000,20,"tail aggregated",1,2,11
10000,20,"Yoshida-Umezu paper",2,2,2
10000,20,"Yoshida-Umezu h=2",0,0,182
10000,20,"quantile 0.90",1,1,34
10000,20,"quantile 0.95",2,2,3
10000,20,"quantile 0.99",2,2,4
