"n","rep","regle","hits10","hits20","worst"
1000,19,"quantile 0.99",0,2,16
1000,20,"tail selected",2,2,6
1000,20,"tail aggregated",2,2,4
1000,20,"Yoshida-Umezu paper",0,0,111
1000,20,"Yoshida-Umezu h=2",0,0,155
1000,20,"quantile 0.90",2,2,4
1000,20,"quantile 0.95",2,2,3
1000,20,"quantile 0.99",0,2,17
1500,1,"tail selected",1,1,185
1500,1,"tail aggregated",1,1,152
1500,1,"Yoshida-Umezu paper",1,1,25
1500,1,"Yoshida-Umezu h=2",1,1,159
1500,1,"quantile 0.90",2,2,9
1500,1,"quantile 0.95",1,1,24
1500,1,"quantile 0.99",1,1,73
1500,2,"tail selected",2,2,3
1500,2,"tail aggregated",2,2,3
1500,2,"Yoshida-Umezu paper",2,2,2
1500,2,"Yoshida-Umezu h=2",1,1,133
1500,2,"quantile 0.90",2,2,7
1500,2,"quantile 0.95",2,2,4
1500,2,"quantile 0.99",1,1,26
1500,3,"tail selected",2,2,2
1500,3,"tail aggregated",2,2,2
1500,3,"Yoshida-Umezu paper",0,0,223
1500,3,"Yoshida-Umezu h=2",1,2,11
1500,3,"quantile 0.90",2,2,3
1500,3,"quantile 0.95",2,2,2
1500,3,"quantile 0.99",2,2,6
1500,4,"tail selected",2,2,3
1500,4,"tail aggregated",2,2,3
1500,4,"Yoshida-Umezu paper",1,1,193
1500,4,"Yoshida-Umezu h=2",0,0,114
1500,4,"quantile 0.90",1,1,45
1500,4,"quantile 0.95",1,1,118
1500,4,"quantile 0.99",2,2,9
1500,5,"tail selected",1,1,22
1500,5,"tail aggregated",1,1,42
1500,5,"Yoshida-Umezu paper",1,1,28
1500,5,"Yoshida-Umezu h=2",1,1,103
1500,5,"quantile 0.90",1,1,83
1500,5,"quantile 0.95",1,1,65
1500,5,"quantile 0.99",1,1,120
1500,6,"tail selected",1,1,257
1500,6,"tail aggregated",1,1,35
1500,6,"Yoshida-Umezu paper",1,1,51
1500,6,"Yoshida-Umezu h=2",1,1,134
1500,6,"quantile 0.90",1,1,96
1500,6,"quantile 0.95",1,1,52
1500,6,"quantile 0.99",2,2,9
1500,7,"tail selected",2,2,5
1500,7,"tail aggregated",2,2,9
1500,7,"Yoshida-Umezu paper",0,2,19
1500,7,"Yoshida-Umezu h=2",2,2,6
