"","1000","2000","5000","10000","25000","50000"
"0.15",60.6,21.25,14.3,4.3,3.6,3
"0.2",27.3,13.85,4.95,4.1,3,3
"0.25",35.15,18.45,4.5,3.3,3,3
"0.3",26.65,17.05,6.55,3.5,3,3
"0.35",39.1,13.15,13.1,3.2,3,3
"0.4",64.1,25.7,29.55,3.2,3,3
