"","1000","2000","5000","10000","25000","50000"
"0.15",-34.5,-16.05,-8.15,-0.6,-0.6,-0.33
"0.2",-1.2,-8.65,1.2,-0.4,0,-0.33
"0.25",-9.05,-13.25,1.65,0.4,0,-0.33
"0.3",-0.55,-11.85,-0.4,0.2,0,-0.33
"0.35",-13,-7.95,-6.95,0.5,0,-0.33
"0.4",-38,-20.5,-23.4,0.5,0,-0.33
