"n","rep","a","alpha","two_nah","agg_worst","sel_worst","agg_hits","sel_hits","comp_worst"
2000,2,0.25,0.149534878122122,95.6352499790037,7,4,2,2,4
2000,2,0.3,0.102256518256357,65.3983057881835,5,5,2,2,4
2000,2,0.35,0.0699261313295298,44.7213595499958,8,116,2,1,4
2000,2,0.4,0.0478176249895018,30.5818319893139,154,212,1,1,4
2000,3,0.15,0.319775731187276,204.513036512715,3,3,2,2,3
2000,3,0.2,0.218672414788656,139.85226265906,3,3,2,2,3
2000,3,0.25,0.149534878122122,95.6352499790037,3,3,2,2,3
2000,3,0.3,0.102256518256357,65.3983057881835,3,3,2,2,3
2000,3,0.35,0.0699261313295298,44.7213595499958,3,3,2,2,3
2000,3,0.4,0.0478176249895018,30.5818319893139,3,5,2,2,3
2000,4,0.15,0.319775731187276,204.513036512715,18,33,1,1,3
2000,4,0.2,0.218672414788656,139.85226265906,20,12,1,1,3
2000,4,0.25,0.149534878122122,95.6352499790037,25,20,1,1,3
2000,4,0.3,0.102256518256357,65.3983057881835,45,54,1,1,3
2000,4,0.35,0.0699261313295298,44.7213595499958,28,41,1,1,3
2000,4,0.4,0.0478176249895018,30.5818319893139,28,32,1,1,3
2000,5,0.15,0.319775731187276,204.513036512715,33,71,1,1,3
2000,5,0.2,0.218672414788656,139.85226265906,21,25,1,1,3
2000,5,0.25,0.149534878122122,95.6352499790037,14,20,1,1,3
2000,5,0.3,0.102256518256357,65.3983057881835,4,9,2,2,3
2000,5,0.35,0.0699261313295298,44.7213595499958,3,3,2,2,3
2000,5,0.4,0.0478176249895018,30.5818319893139,3,3,2,2,3
2000,6,0.15,0.319775731187276,204.513036512715,40,27,1,1,9
2000,6,0.2,0.218672414788656,139.85226265906,81,64,1,1,9
2000,6,0.25,0.149534878122122,95.6352499790037,56,139,1,1,9
2000,6,0.3,0.102256518256357,65.3983057881835,55,45,1,1,9
2000,6,0.35,0.0699261313295298,44.7213595499958,7,66,2,1,9
2000,6,0.4,0.0478176249895018,30.5818319893139,3,3,2,2,9
2000,7,0.15,0.319775731187276,204.513036512715,3,3,2,2,3
2000,7,0.2,0.218672414788656,139.85226265906,3,3,2,2,3
