"model","method","sure4","sure20","ermax"
"M1","ours",0.78,0.925,8.45
"M1","yu",0.19,0.41,190.03
"M1","q95",0.87,1,4.24
"M1","q99",0.07,0.61,22.89
"M1","q95_top4_scale",0,0.005,NA
"M2","ours",0.015,0.08,339.95
"M2","yu",0,0,491.76
"M2","q95",0,0.3,163.22
"M2","q99",0,0.06,120.97
"M2","q95_top4_scale",0.83,3.83,NA
"M3","ours",0.23,0.535,103.11
"M3","yu",0.01,0.115,346.9
"M3","q95",0.305,0.815,14.98
"M3","q99",0,0.085,115
"M3","q95_top4_scale",0,0.01,NA
"M4","ours",0.07,0.345,167.38
"M4","yu",0.015,0.1,336.59
"M4","q95",0.135,0.69,28.89
"M4","q99",0,0.01,221.9
"M4","q95_top4_scale",0,0.015,NA
